H,C,x,y
7.5G,2,0.2958,0.3344
7.5G,4,0.2807,0.3522
7.5G,6,0.2662,0.3672
7.5G,8,0.251,0.3829
7.5G,10,0.235,0.3979
7.5G,12,0.2171,0.4138
7.5G,14,0.2001,0.4278
7.5G,16,0.1832,0.4414
7.5G,18,0.1654,0.4551
7.5G,20,0.1485,0.4677
7.5G,22,0.1325,0.4795
7.5G,24,0.1159,0.491
7.5G,26,0.101,0.5018
7.5G,28,0.0858,0.5127
7.5G,30,0.068,0.524
7.5G,32,0.052,0.535
7.5G,34,0.034,0.546
10G,2,0.2929,0.3303
10G,4,0.2749,0.3443
10G,6,0.2591,0.3558
10G,8,0.242,0.3679
10G,10,0.2247,0.3796
10G,12,0.206,0.3914
10G,14,0.1895,0.4015
10G,16,0.1722,0.4113
10G,18,0.1551,0.4208
10G,20,0.1382,0.4299
10G,22,0.123,0.4378
10G,24,0.107,0.4458
10G,26,0.0941,0.452
10G,28,0.081,0.458
10G,30,0.066,0.465
10G,32,0.052,0.471
10G,34,0.035,0.48
2.5BG,2,0.2902,0.3268
2.5BG,4,0.2702,0.3369
2.5BG,6,0.2526,0.3448
2.5BG,8,0.2332,0.3522
2.5BG,10,0.2148,0.3584
2.5BG,12,0.1954,0.3645
2.5BG,14,0.1779,0.3699
2.5BG,16,0.16,0.3748
2.5BG,18,0.1428,0.379
2.5BG,20,0.1269,0.3829
2.5BG,22,0.112,0.386
2.5BG,24,0.096,0.389
2.5BG,26,0.083,0.392
2.5BG,28,0.074,0.394
2.5BG,30,0.062,0.397
2.5BG,32,0.05,0.398
5BG,2,0.2872,0.3219
5BG,4,0.2648,0.3262
5BG,6,0.2441,0.329
5BG,8,0.2236,0.3311
5BG,10,0.2037,0.3329
5BG,12,0.1844,0.3337
5BG,14,0.1662,0.3343
5BG,16,0.1491,0.3345
5BG,18,0.1325,0.3345
5BG,20,0.1168,0.3344
5BG,22,0.101,0.332
5BG,24,0.086,0.332
5BG,26,0.075,0.331
5BG,28,0.068,0.33
5BG,30,0.06,0.33
7.5BG,2,0.2849,0.3172
7.5BG,4,0.2604,0.3169
7.5BG,6,0.2384,0.3155
7.5BG,8,0.2171,0.3138
7.5BG,10,0.1961,0.311
7.5BG,12,0.1762,0.3081
7.5BG,14,0.1585,0.3052
7.5BG,16,0.1408,0.3017
7.5BG,18,0.1248,0.2981
7.5BG,20,0.108,0.294
7.5BG,22,0.092,0.29
7.5BG,24,0.078,0.287
7.5BG,26,0.068,0.283
10BG,2,0.2837,0.3132
10BG,4,0.2578,0.3078
10BG,6,0.2335,0.3015
10BG,8,0.2116,0.295
10BG,10,0.1909,0.2881
10BG,12,0.1698,0.2802
10BG,14,0.1518,0.2729
10BG,16,0.1337,0.2651
10BG,18,0.1181,0.2581
10BG,20,0.101,0.251
10BG,22,0.086,0.244
10BG,24,0.072,0.237
2.5B,2,0.2835,0.3097
2.5B,4,0.2571,0.3008
2.5B,6,0.2312,0.2899
2.5B,8,0.208,0.2789
2.5B,10,0.1879,0.2682
2.5B,12,0.166,0.2561
2.5B,14,0.148,0.2459
2.5B,16,0.1294,0.2348
2.5B,18,0.114,0.226
2.5B,20,0.099,0.216
2.5B,22,0.085,0.205
5B,2,0.2842,0.3063
5B,4,0.2579,0.2938
5B,6,0.232,0.2789
5B,8,0.2088,0.2635
5B,10,0.1883,0.2487
5B,12,0.1685,0.2339
5B,14,0.1496,0.2193
5B,16,0.131,0.2048
5B,18,0.117,0.192
5B,20,0.102,0.181
7.5B,2,0.2854,0.3037
7.5B,4,0.2602,0.2881
7.5B,6,0.2352,0.2708
7.5B,8,0.2132,0.2537
7.5B,10,0.1934,0.2374
7.5B,12,0.1734,0.2203
7.5B,14,0.1556,0.2043
7.5B,16,0.1376,0.1879
7.5B,18,0.123,0.174
7.5B,20,0.111,0.162
7.5B,22,0.1,0.151
10B,2,0.2871,0.3012
10B,4,0.2637,0.284
10B,6,0.2399,0.265
10B,8,0.2189,0.2468
10B,10,0.2,0.2298
10B,12,0.1803,0.2114
10B,14,0.1629,0.1947
10B,16,0.1454,0.1778
10B,18,0.131,0.164
10B,20,0.12,0.153
10B,22,0.111,0.144
10B,24,0.099,0.133
2.5PB,2,0.2897,0.2991
2.5PB,4,0.2684,0.2804
2.5PB,6,0.2465,0.2599
2.5PB,8,0.2274,0.2406
2.5PB,10,0.2095,0.2225
2.5PB,12,0.1913,0.2038
2.5PB,14,0.1754,0.1868
2.5PB,16,0.159,0.169
2.5PB,18,0.148,0.156
2.5PB,20,0.137,0.144
2.5PB,22,0.127,0.134
2.5PB,24,0.117,0.123
5PB,2,0.2923,0.2978
5PB,4,0.2734,0.2778
5PB,6,0.2533,0.2558
5PB,8,0.236,0.2365
5PB,10,0.2197,0.2188
5PB,12,0.2026,0.1999
5PB,14,0.1873,0.1822
5PB,16,0.171,0.164
5PB,18,0.162,0.153
5PB,20,0.151,0.14
5PB,22,0.143,0.129
5PB,24,0.135,0.118
5PB,26,0.126,0.107
7.5PB,2,0.2955,0.2963
7.5PB,4,0.2798,0.2752
7.5PB,6,0.2638,0.2531
7.5PB,8,0.2505,0.2347
7.5PB,10,0.2378,0.2168
7.5PB,12,0.2241,0.1975
7.5PB,14,0.2119,0.1799
7.5PB,16,0.199,0.163
7.5PB,18,0.192,0.151
7.5PB,20,0.185,0.139
7.5PB,22,0.179,0.128
7.5PB,24,0.173,0.118
7.5PB,26,0.166,0.105
10PB,2,0.2988,0.2961
10PB,4,0.2863,0.2747
10PB,6,0.274,0.2533
10PB,8,0.2637,0.2352
10PB,10,0.254,0.2176
10PB,12,0.244,0.1998
10PB,14,0.2352,0.1839
10PB,16,0.2265,0.1671
10PB,18,0.221,0.156
10PB,20,0.214,0.143
10PB,22,0.208,0.132
10PB,24,0.204,0.123
10PB,26,0.199,0.111
10PB,28,0.194,0.101
2.5P,2,0.3016,0.296
2.5P,4,0.2932,0.2759
2.5P,6,0.2842,0.255
2.5P,8,0.277,0.2372
2.5P,10,0.2703,0.2204
2.5P,12,0.2647,0.2052
2.5P,14,0.2593,0.1909
2.5P,16,0.2548,0.1768
2.5P,18,0.2504,0.1658
2.5P,20,0.246,0.153
2.5P,22,0.242,0.142
2.5P,24,0.239,0.132
2.5P,26,0.235,0.121
2.5P,28,0.231,0.112
2.5P,30,0.228,0.102
2.5P,32,0.225,0.093
5P,2,0.305,0.2967
5P,4,0.3001,0.2778
5P,6,0.295,0.2585
5P,8,0.2905,0.2421
5P,10,0.2862,0.226
5P,12,0.2829,0.2121
5P,14,0.2794,0.1979
5P,16,0.2761,0.1852
5P,18,0.2731,0.1738
5P,20,0.2702,0.1621
5P,22,0.267,0.149
5P,24,0.265,0.14
5P,26,0.263,0.13
5P,28,0.26,0.12
5P,30,0.258,0.111
5P,32,0.256,0.103
5P,34,0.254,0.095
5P,36,0.252,0.089
7.5P,2,0.3107,0.2993
7.5P,4,0.3107,0.2831
7.5P,6,0.3101,0.265
7.5P,8,0.3099,0.2502
7.5P,10,0.3092,0.235
7.5P,12,0.309,0.2222
7.5P,14,0.3084,0.2095
7.5P,16,0.308,0.1976
7.5P,18,0.3075,0.187
7.5P,20,0.3069,0.1745
7.5P,22,0.3062,0.1638
7.5P,24,0.3058,0.1547
7.5P,26,0.305,0.144
7.5P,28,0.304,0.136
7.5P,30,0.303,0.126
7.5P,32,0.302,0.118
7.5P,34,0.301,0.111
7.5P,36,0.301,0.105
10P,2,0.3146,0.3018
10P,4,0.3181,0.2871
10P,6,0.3226,0.2716
10P,8,0.3259,0.2584
10P,10,0.3293,0.245
10P,12,0.3321,0.2329
10P,14,0.3349,0.2203
10P,16,0.337,0.2095
10P,18,0.3388,0.1995
10P,20,0.3409,0.1882
10P,22,0.3426,0.1785
10P,24,0.3441,0.1698
10P,26,0.3457,0.1604
10P,28,0.347,0.151
10P,30,0.349,0.144
10P,32,0.35,0.136
10P,34,0.351,0.129
10P,36,0.352,0.123
2.5RP,2,0.3188,0.3048
2.5RP,4,0.3272,0.2929
2.5RP,6,0.3362,0.2799
2.5RP,8,0.3437,0.2688
2.5RP,10,0.3509,0.2578
2.5RP,12,0.3582,0.2462
2.5RP,14,0.3652,0.2355
2.5RP,16,0.3718,0.2251
2.5RP,18,0.3773,0.2158
2.5RP,20,0.3833,0.2056
2.5RP,22,0.3877,0.1978
2.5RP,24,0.3927,0.1892
2.5RP,26,0.397,0.181
2.5RP,28,0.401,0.174
2.5RP,30,0.406,0.166
2.5RP,32,0.41,0.159
2.5RP,34,0.413,0.153
2.5RP,36,0.416,0.148
5RP,2,0.3232,0.3085
5RP,4,0.3371,0.3001
5RP,6,0.352,0.2904
5RP,8,0.3648,0.282
5RP,10,0.3769,0.2738
5RP,12,0.39,0.2646
5RP,14,0.4023,0.2552
5RP,16,0.4136,0.2467
5RP,18,0.4245,0.2382
5RP,20,0.4368,0.2283
5RP,22,0.4449,0.2219
5RP,24,0.452,0.215
5RP,26,0.462,0.207
5RP,28,0.468,0.201
5RP,30,0.474,0.196
5RP,32,0.481,0.189
7.5RP,2,0.3261,0.3113
7.5RP,4,0.3439,0.3056
7.5RP,6,0.3635,0.2987
7.5RP,8,0.3791,0.2929
7.5RP,10,0.396,0.286
7.5RP,12,0.4125,0.2784
7.5RP,14,0.4285,0.2705
7.5RP,16,0.4448,0.2622
7.5RP,18,0.4581,0.2549
7.5RP,20,0.4735,0.2464
7.5RP,22,0.486,0.24
7.5RP,24,0.496,0.233
7.5RP,26,0.505,0.227
7.5RP,28,0.513,0.221
7.5RP,30,0.519,0.216
10RP,2,0.3292,0.3141
10RP,4,0.3508,0.3112
10RP,6,0.374,0.3074
10RP,8,0.393,0.3038
10RP,10,0.415,0.2989
10RP,12,0.436,0.2936
10RP,14,0.4552,0.2881
10RP,16,0.4781,0.2812
10RP,18,0.4961,0.2751
10RP,20,0.513,0.268
10RP,22,0.527,0.262
10RP,24,0.541,0.256
10RP,26,0.552,0.25
10RP,28,0.563,0.246
2.5R,2,0.3318,0.3166
2.5R,4,0.3566,0.3163
2.5R,6,0.3832,0.3158
2.5R,8,0.4065,0.3144
2.5R,10,0.432,0.3118
2.5R,12,0.4568,0.3082
2.5R,14,0.479,0.3041
2.5R,16,0.5041,0.2983
2.5R,18,0.5262,0.2928
2.5R,20,0.545,0.288
2.5R,22,0.561,0.282
2.5R,24,0.574,0.276
2.5R,26,0.588,0.271
2.5R,28,0.597,0.265
5R,2,0.3343,0.319
5R,4,0.3628,0.3221
5R,6,0.3921,0.3244
5R,8,0.4187,0.3251
5R,10,0.448,0.325
5R,12,0.476,0.3234
5R,14,0.502,0.3212
5R,16,0.5297,0.3179
5R,18,0.5552,0.3138
5R,20,0.575,0.309
5R,22,0.593,0.304
5R,24,0.607,0.299
5R,26,0.618,0.295
5R,28,0.632,0.289
5R,30,0.643,0.283
7.5R,2,0.3381,0.3228
7.5R,4,0.3692,0.3291
7.5R,6,0.4,0.334
7.5R,8,0.4318,0.3383
7.5R,10,0.4655,0.3412
7.5R,12,0.4961,0.3428
7.5R,14,0.5265,0.3431
7.5R,16,0.556,0.342
7.5R,18,0.5829,0.3396
7.5R,20,0.603,0.336
7.5R,22,0.625,0.333
7.5R,24,0.639,0.33
7.5R,26,0.652,0.326
7.5R,28,0.667,0.321
7.5R,30,0.679,0.316
10R,2,0.3417,0.3268
10R,4,0.3768,0.3381
10R,6,0.4103,0.3473
10R,8,0.4449,0.355
10R,10,0.4812,0.3619
10R,12,0.515,0.3667
10R,14,0.5468,0.3697
10R,16,0.5741,0.3713
10R,18,0.6009,0.372
10R,20,0.624,0.371
10R,22,0.646,0.37
10R,24,0.664,0.37
10R,26,0.679,0.369
10R,28,0.696,0.368
10R,30,0.714,0.365
2.5YR,2,0.3453,0.3321
2.5YR,4,0.3806,0.3467
2.5YR,6,0.418,0.36
2.5YR,8,0.4533,0.3708
2.5YR,10,0.4891,0.3806
2.5YR,12,0.5215,0.3887
2.5YR,14,0.5488,0.3947
2.5YR,16,0.5698,0.399
2.5YR,18,0.5879,0.4021
2.5YR,20,0.604,0.403
2.5YR,22,0.614,0.406
5YR,2,0.3474,0.3373
5YR,4,0.384,0.3564
5YR,6,0.4229,0.375
5YR,8,0.4592,0.39
5YR,10,0.4921,0.4022
5YR,12,0.5199,0.4119
5YR,14,0.5423,0.4188
5YR,16,0.5597,0.4239
5YR,18,0.5715,0.427
5YR,20,0.585,0.431
7.5YR,2,0.3487,0.3421
7.5YR,4,0.386,0.3652
7.5YR,6,0.4242,0.3876
7.5YR,8,0.4596,0.4064
7.5YR,10,0.4904,0.422
7.5YR,12,0.5145,0.4331
7.5YR,14,0.532,0.4412
7.5YR,16,0.5468,0.4478
7.5YR,18,0.555,0.452
7.5YR,20,0.564,0.455
10YR,2,0.3491,0.3483
10YR,4,0.3861,0.3767
10YR,6,0.424,0.403
10YR,8,0.457,0.4249
10YR,10,0.4843,0.4416
10YR,12,0.505,0.4536
10YR,14,0.52,0.4623
10YR,16,0.531,0.469
10YR,18,0.539,0.472
2.5Y,2,0.348,0.354
2.5Y,4,0.384,0.3867
2.5Y,6,0.4203,0.4176
2.5Y,8,0.4517,0.4421
2.5Y,10,0.476,0.4607
2.5Y,12,0.4928,0.473
2.5Y,14,0.5061,0.4829
2.5Y,16,0.516,0.489
2.5Y,18,0.523,0.494
5Y,2,0.3457,0.358
5Y,4,0.3794,0.3955
5Y,6,0.414,0.4305
5Y,8,0.4426,0.4588
5Y,10,0.4639,0.479
5Y,12,0.478,0.492
5Y,14,0.4905,0.5038
5Y,16,0.499,0.51
7.5Y,2,0.3431,0.3601
7.5Y,4,0.3745,0.4004
7.5Y,6,0.406,0.44
7.5Y,8,0.4321,0.4719
7.5Y,10,0.4512,0.4943
7.5Y,12,0.4638,0.5087
7.5Y,14,0.4754,0.522
7.5Y,16,0.482,0.528
