H,C,x,y
10Y,2,0.3398,0.3611
10Y,4,0.3679,0.4033
10Y,6,0.396,0.4452
10Y,8,0.4201,0.4812
10Y,10,0.4372,0.5068
10Y,12,0.4488,0.5237
10Y,14,0.4593,0.5392
10Y,16,0.465,0.546
2.5GY,2,0.3342,0.3607
2.5GY,4,0.3572,0.4038
2.5GY,6,0.3799,0.447
2.5GY,8,0.4006,0.4885
2.5GY,10,0.4159,0.519
2.5GY,12,0.4269,0.5414
2.5GY,14,0.4354,0.5594
2.5GY,16,0.439,0.568
5GY,2,0.3288,0.3592
5GY,4,0.3461,0.4008
5GY,6,0.3622,0.4438
5GY,8,0.3772,0.488
5GY,10,0.3891,0.5264
5GY,12,0.398,0.5564
5GY,14,0.4042,0.5788
5GY,16,0.409,0.594
5GY,18,0.413,0.607
7.5GY,2,0.3193,0.355
7.5GY,4,0.3275,0.3922
7.5GY,6,0.3351,0.4321
7.5GY,8,0.3418,0.4768
7.5GY,10,0.3463,0.5196
7.5GY,12,0.3488,0.5596
7.5GY,14,0.3498,0.5985
7.5GY,16,0.3498,0.6282
7.5GY,18,0.349,0.65
7.5GY,20,0.348,0.667
7.5GY,22,0.347,0.688
10GY,2,0.3112,0.3496
10GY,4,0.3124,0.3822
10GY,6,0.3128,0.4175
10GY,8,0.3116,0.4563
10GY,10,0.3086,0.4949
10GY,12,0.3037,0.5358
10GY,14,0.2962,0.5802
10GY,16,0.2872,0.6199
10GY,18,0.2763,0.6616
10GY,20,0.2648,0.7004
10GY,22,0.253,0.738
10GY,24,0.238,0.782
10GY,26,0.225,0.82
10GY,28,0.208,0.863
10GY,30,0.188,0.905
10GY,32,0.171,0.939
2.5G,2,0.3039,0.3437
2.5G,4,0.2967,0.3695
2.5G,6,0.2892,0.3963
2.5G,8,0.2799,0.4239
2.5G,10,0.269,0.453
2.5G,12,0.2574,0.4814
2.5G,14,0.2426,0.5133
2.5G,16,0.2278,0.543
2.5G,18,0.2102,0.5737
2.5G,20,0.1922,0.6035
2.5G,22,0.1739,0.6318
2.5G,24,0.1536,0.6605
2.5G,26,0.134,0.6871
2.5G,28,0.1145,0.7122
2.5G,30,0.092,0.738
2.5G,32,0.069,0.764
2.5G,34,0.047,0.789
5G,2,0.2988,0.3382
5G,4,0.2868,0.3595
5G,6,0.2748,0.3795
5G,8,0.2612,0.399
5G,10,0.2466,0.4181
5G,12,0.2293,0.439
5G,14,0.213,0.4571
5G,16,0.196,0.4751
5G,18,0.1785,0.4924
5G,20,0.1609,0.5091
5G,22,0.1432,0.5252
5G,24,0.1252,0.5408
5G,26,0.1079,0.556
5G,28,0.0908,0.5695
5G,30,0.071,0.586
5G,32,0.053,0.599
5G,34,0.031,0.614
