H,C,x,y
10Y,2,0.397,0.448
10Y,4,0.761,0.998
2.5GY,2,0.363,0.425
2.5GY,4,0.556,0.907
5GY,2,0.336,0.41
5GY,4,0.4,0.738
5GY,6,0.425,1.266
7.5GY,2,0.314,0.394
7.5GY,4,0.305,0.613
7.5GY,6,0.237,0.969
7.5GY,8,-0.119,1.632
10GY,2,0.298,0.381
10GY,4,0.254,0.537
10GY,6,0.15,0.791
10GY,8,-0.156,1.22
2.5G,2,0.287,0.371
2.5G,4,0.225,0.488
2.5G,6,0.102,0.66
2.5G,8,-0.213,0.967
5G,2,0.28,0.363
5G,4,0.205,0.447
5G,6,0.082,0.553
5G,8,-0.185,0.737
7.5G,2,0.272,0.355
7.5G,4,0.191,0.414
7.5G,6,0.073,0.476
7.5G,8,-0.143,0.561
10G,2,0.265,0.346
10G,4,0.178,0.382
10G,6,0.07,0.408
10G,8,-0.1,0.428
2.5BG,2,0.253,0.332
2.5BG,4,0.163,0.342
2.5BG,6,0.07,0.341
2.5BG,8,-0.062,0.33
5BG,2,0.241,0.315
5BG,4,0.15,0.299
5BG,6,0.072,0.275
5BG,8,-0.018,0.239
7.5BG,2,0.23,0.296
7.5BG,4,0.145,0.264
7.5BG,6,0.077,0.233
7.5BG,8,0.008,0.198
10BG,2,0.223,0.28
10BG,4,0.146,0.237
10BG,6,0.086,0.199
10BG,8,0.033,0.164
2.5B,2,0.22,0.271
2.5B,4,0.149,0.222
2.5B,6,0.094,0.181
2.5B,8,0.048,0.147
5B,2,0.218,0.258
5B,4,0.154,0.207
5B,6,0.106,0.163
5B,8,0.069,0.127
7.5B,2,0.22,0.249
7.5B,4,0.16,0.196
7.5B,6,0.115,0.153
7.5B,8,0.082,0.12
7.5B,10,0.049,0.089
10B,2,0.222,0.241
10B,4,0.168,0.187
10B,6,0.128,0.145
10B,8,0.097,0.112
10B,10,0.071,0.083
2.5PB,2,0.225,0.234
2.5PB,4,0.178,0.181
2.5PB,6,0.142,0.138
2.5PB,8,0.117,0.105
2.5PB,10,0.098,0.081
2.5PB,12,0.082,0.058
5PB,2,0.234,0.226
5PB,4,0.192,0.174
5PB,6,0.16,0.132
5PB,8,0.139,0.102
5PB,10,0.123,0.083
5PB,12,0.109,0.06
5PB,14,0.099,0.045
5PB,16,0.092,0.034
5PB,18,0.087,0.026
5PB,20,0.081,0.018
7.5PB,2,0.247,0.221
7.5PB,4,0.216,0.17
7.5PB,6,0.194,0.131
7.5PB,8,0.179,0.104
7.5PB,10,0.17,0.089
7.5PB,12,0.162,0.072
7.5PB,14,0.155,0.056
7.5PB,16,0.15,0.046
7.5PB,18,0.147,0.039
7.5PB,20,0.144,0.032
7.5PB,22,0.14,0.025
7.5PB,24,0.137,0.018
7.5PB,26,0.135,0.013
7.5PB,28,0.133,0.009
7.5PB,30,0.131,0.005
7.5PB,32,0.13,0.002
7.5PB,34,0.129,-0.001
7.5PB,36,0.128,-0.004
10PB,2,0.263,0.219
10PB,4,0.242,0.17
10PB,6,0.229,0.137
10PB,8,0.22,0.112
10PB,10,0.215,0.097
10PB,12,0.21,0.081
10PB,14,0.206,0.068
10PB,16,0.203,0.057
10PB,18,0.2,0.05
10PB,20,0.199,0.043
10PB,22,0.197,0.036
10PB,24,0.196,0.03
10PB,26,0.194,0.026
10PB,28,0.193,0.021
10PB,30,0.192,0.018
10PB,32,0.191,0.014
10PB,34,0.19,0.01
10PB,36,0.189,0.008
2.5P,2,0.277,0.22
2.5P,4,0.264,0.174
2.5P,6,0.255,0.144
2.5P,8,0.248,0.12
2.5P,10,0.245,0.105
2.5P,12,0.242,0.09
2.5P,14,0.238,0.076
2.5P,16,0.236,0.064
2.5P,18,0.235,0.057
2.5P,20,0.233,0.05
2.5P,22,0.232,0.044
2.5P,24,0.231,0.038
2.5P,26,0.23,0.034
2.5P,28,0.228,0.028
2.5P,30,0.228,0.026
2.5P,32,0.227,0.022
2.5P,34,0.227,0.019
2.5P,36,0.227,0.015
5P,2,0.292,0.224
5P,4,0.283,0.179
5P,6,0.279,0.151
5P,8,0.275,0.127
5P,10,0.269,0.112
5P,12,0.266,0.095
5P,14,0.263,0.08
5P,16,0.262,0.069
5P,18,0.26,0.062
5P,20,0.258,0.056
5P,22,0.257,0.049
5P,24,0.256,0.044
5P,26,0.256,0.039
5P,28,0.255,0.035
5P,30,0.254,0.03
7.5P,2,0.304,0.228
7.5P,4,0.298,0.184
7.5P,6,0.294,0.156
7.5P,8,0.291,0.132
7.5P,10,0.29,0.118
7.5P,12,0.287,0.101
7.5P,14,0.284,0.084
7.5P,16,0.283,0.072
7.5P,18,0.281,0.066
7.5P,20,0.28,0.06
7.5P,22,0.279,0.054
7.5P,24,0.278,0.049
7.5P,26,0.278,0.044
10P,2,0.312,0.232
10P,4,0.31,0.189
10P,6,0.309,0.162
10P,8,0.308,0.137
10P,10,0.307,0.123
10P,12,0.306,0.106
10P,14,0.304,0.089
10P,16,0.303,0.078
10P,18,0.302,0.071
10P,20,0.302,0.065
10P,22,0.302,0.059
10P,24,0.302,0.053
2.5RP,2,0.322,0.236
2.5RP,4,0.326,0.195
2.5RP,6,0.328,0.168
2.5RP,8,0.329,0.144
2.5RP,10,0.329,0.129
2.5RP,12,0.33,0.111
2.5RP,14,0.33,0.093
2.5RP,16,0.331,0.084
2.5RP,18,0.331,0.077
2.5RP,20,0.331,0.07
2.5RP,22,0.331,0.065
5RP,2,0.336,0.243
5RP,4,0.347,0.206
5RP,6,0.355,0.179
5RP,8,0.362,0.154
5RP,10,0.366,0.139
5RP,12,0.37,0.12
5RP,14,0.373,0.105
5RP,16,0.376,0.094
5RP,18,0.378,0.086
5RP,20,0.379,0.081
7.5RP,2,0.35,0.251
7.5RP,4,0.369,0.217
7.5RP,6,0.384,0.19
7.5RP,8,0.397,0.165
7.5RP,10,0.405,0.149
7.5RP,12,0.413,0.132
7.5RP,14,0.421,0.115
7.5RP,16,0.427,0.104
10RP,2,0.365,0.261
10RP,4,0.393,0.23
10RP,6,0.415,0.203
10RP,8,0.435,0.177
10RP,10,0.447,0.16
10RP,12,0.459,0.143
10RP,14,0.47,0.127
2.5R,2,0.381,0.272
2.5R,4,0.421,0.245
2.5R,6,0.455,0.219
2.5R,8,0.483,0.195
2.5R,10,0.502,0.177
2.5R,12,0.521,0.159
2.5R,14,0.536,0.143
5R,2,0.399,0.286
5R,4,0.45,0.261
5R,6,0.496,0.237
5R,8,0.536,0.214
5R,10,0.565,0.197
5R,12,0.591,0.18
7.5R,2,0.411,0.297
7.5R,4,0.477,0.276
7.5R,6,0.534,0.255
7.5R,8,0.584,0.234
