H,C,x,y
7.5R,10,0.624,0.216
7.5R,12,0.66,0.199
10R,2,0.423,0.309
10R,4,0.508,0.296
10R,6,0.578,0.28
10R,8,0.635,0.259
10R,10,0.685,0.24
10R,12,0.725,0.218
2.5YR,2,0.445,0.333
2.5YR,4,0.558,0.33
2.5YR,6,0.637,0.32
2.5YR,8,0.715,0.306
2.5YR,10,0.802,0.288
2.5YR,12,0.875,0.273
5YR,2,0.463,0.361
5YR,4,0.612,0.376
5YR,6,0.721,0.376
5YR,8,0.826,0.372
7.5YR,2,0.475,0.386
7.5YR,4,0.663,0.43
7.5YR,6,0.817,0.45
10YR,2,0.481,0.411
10YR,4,0.749,0.534
2.5Y,2,0.479,0.439
2.5Y,4,0.82,0.64
5Y,2,0.465,0.457
5Y,4,0.891,0.79
7.5Y,2,0.434,0.46
7.5Y,4,0.88,0.936
