H,C,x,y
10Y,2,0.3349,0.3537
10Y,4,0.3558,0.3852
10Y,6,0.3761,0.4155
10Y,8,0.3957,0.445
10Y,10,0.412,0.4694
10Y,12,0.4271,0.492
10Y,14,0.4393,0.5101
10Y,16,0.4477,0.5225
10Y,18,0.454,0.532
10Y,20,0.457,0.537
10Y,22,0.462,0.544
2.5GY,2,0.3321,0.3539
2.5GY,4,0.3499,0.3866
2.5GY,6,0.367,0.4178
2.5GY,8,0.3834,0.449
2.5GY,10,0.3973,0.4761
2.5GY,12,0.4108,0.5028
2.5GY,14,0.4212,0.5237
2.5GY,16,0.4288,0.5383
2.5GY,18,0.4354,0.5508
2.5GY,20,0.438,0.556
2.5GY,22,0.442,0.564
5GY,2,0.3284,0.3534
5GY,4,0.3437,0.3861
5GY,6,0.3572,0.4179
5GY,8,0.3698,0.4497
5GY,10,0.381,0.4791
5GY,12,0.3911,0.5082
5GY,14,0.3993,0.5329
5GY,16,0.4058,0.5541
5GY,18,0.4108,0.5699
5GY,20,0.414,0.58
5GY,22,0.417,0.59
7.5GY,2,0.3198,0.35
7.5GY,4,0.3274,0.3793
7.5GY,6,0.3351,0.4111
7.5GY,8,0.3414,0.4415
7.5GY,10,0.3471,0.4735
7.5GY,12,0.3518,0.5042
7.5GY,14,0.3551,0.5339
7.5GY,16,0.3581,0.5654
7.5GY,18,0.3602,0.592
7.5GY,20,0.361,0.614
7.5GY,22,0.362,0.638
7.5GY,24,0.36,0.657
7.5GY,26,0.36,0.682
7.5GY,28,0.36,0.707
10GY,2,0.3124,0.3454
10GY,4,0.3144,0.3711
10GY,6,0.3153,0.4008
10GY,8,0.3157,0.4259
10GY,10,0.3155,0.4558
10GY,12,0.3139,0.4829
10GY,14,0.3115,0.5129
10GY,16,0.3079,0.544
10GY,18,0.3032,0.5748
10GY,20,0.298,0.602
10GY,22,0.292,0.627
10GY,24,0.284,0.653
10GY,26,0.277,0.681
10GY,28,0.268,0.707
2.5G,2,0.3058,0.34
2.5G,4,0.3018,0.3606
2.5G,6,0.2966,0.3846
2.5G,8,0.2912,0.4054
2.5G,10,0.2851,0.4275
2.5G,12,0.2786,0.4491
2.5G,14,0.2711,0.4726
2.5G,16,0.263,0.4966
2.5G,18,0.253,0.525
2.5G,20,0.242,0.552
2.5G,22,0.23,0.576
2.5G,24,0.219,0.599
2.5G,26,0.206,0.619
2.5G,28,0.192,0.643
5G,2,0.3017,0.3357
5G,4,0.2933,0.3519
5G,6,0.2832,0.3697
5G,8,0.2735,0.3854
5G,10,0.2639,0.4001
5G,12,0.2528,0.416
5G,14,0.242,0.43
5G,16,0.229,0.446
5G,18,0.214,0.461
5G,20,0.2,0.474
5G,22,0.185,0.487
5G,24,0.17,0.499
5G,26,0.157,0.509
5G,28,0.143,0.519
7.5G,2,0.2987,0.3323
7.5G,4,0.2882,0.3461
7.5G,6,0.2763,0.3607
7.5G,8,0.2652,0.3738
7.5G,10,0.2545,0.3855
7.5G,12,0.2419,0.3985
7.5G,14,0.229,0.41
7.5G,16,0.216,0.423
7.5G,18,0.201,0.436
7.5G,20,0.187,0.446
7.5G,22,0.174,0.457
7.5G,24,0.16,0.467
10G,2,0.2965,0.3293
10G,4,0.284,0.3402
10G,6,0.2703,0.3513
10G,8,0.2574,0.3618
10G,10,0.2457,0.3702
10G,12,0.2325,0.3796
10G,14,0.217,0.388
10G,16,0.203,0.396
10G,18,0.188,0.405
10G,20,0.175,0.411
10G,22,0.161,0.419
10G,24,0.147,0.425
2.5BG,2,0.2947,0.3267
2.5BG,4,0.2805,0.3349
2.5BG,6,0.2652,0.3433
2.5BG,8,0.2509,0.3507
2.5BG,10,0.2382,0.3568
2.5BG,12,0.222,0.364
2.5BG,14,0.208,0.37
2.5BG,16,0.194,0.376
2.5BG,18,0.178,0.382
2.5BG,20,0.166,0.386
2.5BG,22,0.152,0.391
5BG,2,0.293,0.3232
5BG,4,0.2768,0.3287
5BG,6,0.2599,0.3338
5BG,8,0.2437,0.3378
5BG,10,0.2301,0.3405
5BG,12,0.212,0.344
5BG,14,0.196,0.346
5BG,16,0.18,0.348
5BG,18,0.164,0.349
5BG,20,0.15,0.35
7.5BG,2,0.2911,0.3188
7.5BG,4,0.2728,0.3208
7.5BG,6,0.2543,0.322
7.5BG,8,0.2361,0.3225
7.5BG,10,0.2215,0.3226
7.5BG,12,0.203,0.323
7.5BG,14,0.187,0.323
7.5BG,16,0.17,0.323
7.5BG,18,0.156,0.322
10BG,2,0.2907,0.3159
10BG,4,0.27,0.314
10BG,6,0.2501,0.3118
10BG,8,0.232,0.31
10BG,10,0.214,0.306
10BG,12,0.196,0.304
10BG,14,0.18,0.301
10BG,16,0.162,0.298
10BG,18,0.147,0.294
2.5B,2,0.2909,0.3125
2.5B,4,0.268,0.3073
2.5B,6,0.247,0.302
2.5B,8,0.228,0.296
2.5B,10,0.211,0.29
2.5B,12,0.193,0.284
2.5B,14,0.176,0.278
