H,C,x,y
10Y,2,0.3422,0.3648
10Y,4,0.3762,0.4158
10Y,6,0.4072,0.4621
10Y,8,0.4307,0.4967
10Y,10,0.4468,0.5209
10Y,12,0.459,0.539
10Y,14,0.469,0.554
2.5GY,2,0.3352,0.3636
2.5GY,4,0.3621,0.4143
2.5GY,6,0.3879,0.4646
2.5GY,8,0.4088,0.5068
2.5GY,10,0.4224,0.5369
2.5GY,12,0.4333,0.5602
2.5GY,14,0.44,0.58
5GY,2,0.3289,0.3612
5GY,4,0.3482,0.4097
5GY,6,0.3663,0.4614
5GY,8,0.3815,0.5093
5GY,10,0.3928,0.5485
5GY,12,0.4011,0.5802
5GY,14,0.407,0.604
5GY,16,0.41,0.626
7.5GY,2,0.3188,0.356
7.5GY,4,0.3274,0.3994
7.5GY,6,0.3354,0.4483
7.5GY,8,0.3412,0.4976
7.5GY,10,0.3451,0.549
7.5GY,12,0.345,0.5949
7.5GY,14,0.3429,0.6335
7.5GY,16,0.341,0.666
7.5GY,18,0.339,0.697
7.5GY,20,0.333,0.733
10GY,2,0.311,0.3508
10GY,4,0.3111,0.3881
10GY,6,0.3108,0.4301
10GY,8,0.308,0.4759
10GY,10,0.3028,0.5237
10GY,12,0.294,0.5751
10GY,14,0.2838,0.6208
10GY,16,0.2702,0.67
10GY,18,0.2549,0.7179
10GY,20,0.237,0.767
10GY,22,0.221,0.808
10GY,24,0.202,0.852
10GY,26,0.179,0.898
10GY,28,0.154,0.949
10GY,30,0.125,1
10GY,32,0.097,1.048
2.5G,2,0.303,0.3445
2.5G,4,0.2943,0.3735
2.5G,6,0.2841,0.4045
2.5G,8,0.271,0.438
2.5G,10,0.2565,0.4705
2.5G,12,0.2385,0.5071
2.5G,14,0.2211,0.5411
2.5G,16,0.2005,0.5759
2.5G,18,0.1782,0.6095
2.5G,20,0.1579,0.6392
2.5G,22,0.1377,0.6674
2.5G,24,0.1188,0.6918
2.5G,26,0.0992,0.7155
2.5G,28,0.0794,0.7385
2.5G,30,0.055,0.766
2.5G,32,0.034,0.789
5G,2,0.2978,0.3392
5G,4,0.2841,0.3628
5G,6,0.269,0.386
5G,8,0.2511,0.4107
5G,10,0.2329,0.4331
5G,12,0.2104,0.4578
5G,14,0.1912,0.4773
5G,16,0.1695,0.4981
5G,18,0.1489,0.5171
5G,20,0.1318,0.5321
5G,22,0.1144,0.5463
5G,24,0.0953,0.5628
5G,26,0.0784,0.5761
