H,C,x,y
5G,28,0.0609,0.5898
5G,30,0.04,0.605
5G,32,0.02,0.622
7.5G,2,0.2945,0.3355
7.5G,4,0.2775,0.3545
7.5G,6,0.2598,0.3724
7.5G,8,0.2395,0.3915
7.5G,10,0.22,0.4082
7.5G,12,0.1964,0.4271
7.5G,14,0.1776,0.4415
7.5G,16,0.1571,0.4561
7.5G,18,0.1372,0.4705
7.5G,20,0.1212,0.4817
7.5G,22,0.105,0.4927
7.5G,24,0.0878,0.5039
7.5G,26,0.073,0.5131
7.5G,28,0.0585,0.5224
7.5G,30,0.041,0.532
7.5G,32,0.021,0.542
10G,2,0.291,0.331
10G,4,0.2711,0.3455
10G,6,0.2519,0.3587
10G,8,0.2297,0.373
10G,10,0.2095,0.3853
10G,12,0.1852,0.3992
10G,14,0.1671,0.4089
10G,16,0.1469,0.4192
10G,18,0.1275,0.4288
10G,20,0.112,0.436
10G,22,0.0958,0.4428
10G,24,0.0811,0.4491
10G,26,0.069,0.4542
10G,28,0.0572,0.459
10G,30,0.041,0.466
10G,32,0.023,0.474
2.5BG,2,0.288,0.327
2.5BG,4,0.2659,0.3369
2.5BG,6,0.2448,0.3452
2.5BG,8,0.2205,0.3537
2.5BG,10,0.198,0.3606
2.5BG,12,0.1735,0.3668
2.5BG,14,0.1559,0.3708
2.5BG,16,0.1348,0.375
2.5BG,18,0.1165,0.3785
2.5BG,20,0.1005,0.3814
2.5BG,22,0.0861,0.3832
2.5BG,24,0.0738,0.3851
2.5BG,26,0.064,0.386
2.5BG,28,0.053,0.388
2.5BG,30,0.042,0.389
2.5BG,32,0.027,0.391
5BG,2,0.2841,0.321
5BG,4,0.2591,0.3246
5BG,6,0.236,0.327
5BG,8,0.21,0.328
5BG,10,0.185,0.328
5BG,12,0.1614,0.328
5BG,14,0.1448,0.3275
5BG,16,0.1243,0.3261
5BG,18,0.1046,0.3244
5BG,20,0.0904,0.3231
5BG,22,0.0781,0.3211
5BG,24,0.067,0.32
5BG,26,0.058,0.318
5BG,28,0.05,0.317
5BG,30,0.042,0.316
7.5BG,2,0.2812,0.3161
7.5BG,4,0.255,0.315
7.5BG,6,0.2292,0.3125
7.5BG,8,0.203,0.3082
7.5BG,10,0.1776,0.3032
7.5BG,12,0.1537,0.2976
7.5BG,14,0.1364,0.2932
7.5BG,16,0.1167,0.288
7.5BG,18,0.0982,0.2828
7.5BG,20,0.083,0.278
7.5BG,22,0.071,0.274
7.5BG,24,0.062,0.27
7.5BG,26,0.055,0.268
10BG,2,0.2796,0.3111
10BG,4,0.2512,0.304
10BG,6,0.2234,0.2952
10BG,8,0.197,0.286
10BG,10,0.1716,0.276
10BG,12,0.1485,0.2662
10BG,14,0.1308,0.2582
10BG,16,0.1108,0.2489
10BG,18,0.093,0.24
10BG,20,0.079,0.232
10BG,22,0.066,0.226
10BG,24,0.058,0.221
2.5B,2,0.2791,0.3071
2.5B,4,0.2492,0.2954
2.5B,6,0.221,0.2823
2.5B,8,0.1947,0.2687
2.5B,10,0.1697,0.2549
2.5B,12,0.1461,0.2406
2.5B,14,0.1283,0.2292
2.5B,16,0.109,0.2166
2.5B,18,0.094,0.206
2.5B,20,0.077,0.194
5B,2,0.2794,0.3032
5B,4,0.2493,0.2879
5B,6,0.2215,0.2701
5B,8,0.1958,0.2519
5B,10,0.1729,0.2347
5B,12,0.1505,0.2172
5B,14,0.132,0.2021
5B,16,0.1132,0.1863
5B,18,0.098,0.172
5B,20,0.086,0.16
7.5B,2,0.2803,0.3
7.5B,4,0.2511,0.2808
7.5B,6,0.2248,0.2612
7.5B,8,0.2007,0.2417
7.5B,10,0.1792,0.223
7.5B,12,0.1584,0.2042
7.5B,14,0.1404,0.1878
7.5B,16,0.123,0.1711
7.5B,18,0.109,0.157
7.5B,20,0.098,0.146
10B,2,0.2821,0.2966
10B,4,0.2547,0.2757
10B,6,0.2299,0.2548
10B,8,0.2067,0.2344
10B,10,0.186,0.2149
10B,12,0.1666,0.1964
10B,14,0.1492,0.1797
10B,16,0.1326,0.1632
10B,18,0.1203,0.1505
10B,20,0.108,0.137
10B,22,0.096,0.126
2.5PB,2,0.2847,0.2942
2.5PB,4,0.26,0.272
2.5PB,6,0.2365,0.2488
2.5PB,8,0.2157,0.2278
2.5PB,10,0.1968,0.2078
2.5PB,12,0.1793,0.1894
2.5PB,14,0.1642,0.1728
2.5PB,16,0.1495,0.1559
2.5PB,18,0.1363,0.141
2.5PB,20,0.124,0.128
2.5PB,22,0.114,0.116
2.5PB,24,0.103,0.104
5PB,2,0.2882,0.2923
5PB,4,0.2662,0.2687
5PB,6,0.2447,0.2449
5PB,8,0.2255,0.2239
5PB,10,0.208,0.2041
5PB,12,0.1918,0.1858
5PB,14,0.1773,0.1689
5PB,16,0.1638,0.1521
5PB,18,0.1518,0.1365
5PB,20,0.142,0.123
5PB,22,0.134,0.113
5PB,24,0.124,0.1
5PB,26,0.116,0.089
5PB,28,0.109,0.079
5PB,30,0.104,0.07
5PB,32,0.097,0.062
7.5PB,2,0.2918,0.2908
7.5PB,4,0.2739,0.2666
7.5PB,6,0.2563,0.2417
7.5PB,8,0.2417,0.2204
7.5PB,10,0.2285,0.202
7.5PB,12,0.2157,0.183
7.5PB,14,0.2042,0.1661
7.5PB,16,0.1945,0.1511
7.5PB,18,0.1862,0.1365
7.5PB,20,0.1794,0.1239
7.5PB,22,0.175,0.114
7.5PB,24,0.17,0.103
7.5PB,26,0.165,0.094
7.5PB,28,0.162,0.086
7.5PB,30,0.158,0.078
7.5PB,32,0.154,0.07
7.5PB,34,0.15,0.062
10PB,2,0.2959,0.2905
10PB,4,0.2821,0.2659
10PB,6,0.2686,0.2412
10PB,8,0.2572,0.2211
10PB,10,0.2478,0.203
10PB,12,0.2384,0.1857
10PB,14,0.2299,0.1698
10PB,16,0.2224,0.1555
10PB,18,0.2174,0.1444
10PB,20,0.2121,0.1329
10PB,22,0.2082,0.1225
10PB,24,0.204,0.113
10PB,26,0.2,0.103
10PB,28,0.197,0.095
10PB,30,0.193,0.086
10PB,32,0.189,0.078
10PB,34,0.186,0.071
10PB,36,0.183,0.063
2.5P,2,0.3,0.2912
2.5P,4,0.2898,0.2667
2.5P,6,0.2806,0.2444
2.5P,8,0.2728,0.224
2.5P,10,0.2665,0.2075
2.5P,12,0.2608,0.1913
2.5P,14,0.256,0.1774
2.5P,16,0.2515,0.1644
2.5P,18,0.2476,0.1532
2.5P,20,0.2438,0.1419
2.5P,22,0.2402,0.1315
2.5P,24,0.2372,0.1223
2.5P,26,0.2348,0.114
2.5P,28,0.231,0.104
2.5P,30,0.229,0.097
2.5P,32,0.226,0.088
2.5P,34,0.223,0.08
2.5P,36,0.221,0.072
2.5P,38,0.219,0.066
5P,2,0.3045,0.2928
5P,4,0.2986,0.2699
5P,6,0.2932,0.2487
5P,8,0.2885,0.2296
5P,10,0.2845,0.2137
5P,12,0.2806,0.1977
5P,14,0.2775,0.1847
5P,16,0.2744,0.1718
5P,18,0.2718,0.1604
5P,20,0.2694,0.1499
5P,22,0.2673,0.1398
5P,24,0.2652,0.1304
5P,26,0.2635,0.1224
5P,28,0.2618,0.1135
5P,30,0.259,0.105
5P,32,0.256,0.096
5P,34,0.255,0.088
5P,36,0.253,0.081
5P,38,0.252,0.075
5P,40,0.251,0.069
7.5P,2,0.3103,0.2959
7.5P,4,0.31,0.275
7.5P,6,0.3093,0.2555
7.5P,8,0.3087,0.2375
7.5P,10,0.308,0.223
7.5P,12,0.3071,0.208
7.5P,14,0.3068,0.1951
7.5P,16,0.306,0.183
7.5P,18,0.3052,0.1711
7.5P,20,0.3042,0.1606
7.5P,22,0.3038,0.15
7.5P,24,0.303,0.1423
7.5P,26,0.3022,0.1331
7.5P,28,0.3018,0.1253
7.5P,30,0.301,0.117
7.5P,32,0.3,0.108
7.5P,34,0.3,0.1
7.5P,36,0.299,0.093
7.5P,38,0.298,0.088
7.5P,40,0.298,0.081
10P,2,0.3148,0.2986
10P,4,0.3198,0.2807
10P,6,0.3243,0.263
10P,8,0.328,0.2464
10P,10,0.3308,0.2328
10P,12,0.3335,0.2187
10P,14,0.336,0.2066
10P,16,0.3382,0.1951
10P,18,0.3401,0.184
10P,20,0.3422,0.1735
10P,22,0.3437,0.1644
10P,24,0.345,0.1555
10P,26,0.3468,0.146
10P,28,0.3478,0.1388
10P,30,0.349,0.1308
10P,32,0.35,0.124
10P,34,0.351,0.115
10P,36,0.352,0.107
10P,38,0.353,0.102
10P,40,0.354,0.096
2.5RP,2,0.3199,0.3019
2.5RP,4,0.3298,0.2869
2.5RP,6,0.3396,0.2718
2.5RP,8,0.349,0.257
2.5RP,10,0.356,0.2452
2.5RP,12,0.3635,0.2325
2.5RP,14,0.3703,0.2211
2.5RP,16,0.3763,0.2108
2.5RP,18,0.3821,0.2007
2.5RP,20,0.3873,0.1909
2.5RP,22,0.3924,0.1814
2.5RP,24,0.3965,0.1738
2.5RP,26,0.4011,0.1652
2.5RP,28,0.405,0.157
2.5RP,30,0.409,0.149
2.5RP,32,0.413,0.142
2.5RP,34,0.416,0.135
2.5RP,36,0.421,0.126
5RP,2,0.3256,0.3065
5RP,4,0.3421,0.2954
5RP,6,0.3585,0.2842
5RP,8,0.3748,0.2729
5RP,10,0.388,0.263
5RP,12,0.4022,0.2523
5RP,14,0.4142,0.2428
5RP,16,0.4261,0.2331
5RP,18,0.4372,0.2242
5RP,20,0.4484,0.215
5RP,22,0.4581,0.2068
5RP,24,0.4683,0.1978
5RP,26,0.476,0.19
5RP,28,0.483,0.183
5RP,30,0.491,0.176
5RP,32,0.498,0.169
7.5RP,2,0.3296,0.3098
7.5RP,4,0.3515,0.3024
7.5RP,6,0.3726,0.2941
7.5RP,8,0.3932,0.2852
7.5RP,10,0.4108,0.2773
7.5RP,12,0.4303,0.2675
7.5RP,14,0.4454,0.2596
7.5RP,16,0.4617,0.2506
7.5RP,18,0.4761,0.2421
7.5RP,20,0.4915,0.233
7.5RP,22,0.5045,0.2248
7.5RP,24,0.517,0.217
7.5RP,26,0.526,0.21
7.5RP,28,0.536,0.204
7.5RP,30,0.546,0.197
10RP,2,0.3332,0.3131
10RP,4,0.3594,0.309
10RP,6,0.3851,0.3039
10RP,8,0.4105,0.298
10RP,10,0.4332,0.2918
10RP,12,0.4579,0.2841
10RP,14,0.4767,0.2776
10RP,16,0.4986,0.2695
10RP,18,0.5185,0.262
10RP,20,0.5396,0.2535
10RP,22,0.554,0.246
10RP,24,0.57,0.24
10RP,26,0.582,0.234
10RP,28,0.593,0.229
2.5R,2,0.336,0.3158
2.5R,4,0.366,0.3148
2.5R,6,0.396,0.313
2.5R,8,0.4252,0.3101
2.5R,10,0.4533,0.3058
2.5R,12,0.482,0.3002
2.5R,14,0.5047,0.295
2.5R,16,0.53,0.288
2.5R,18,0.554,0.2804
2.5R,20,0.5784,0.2719
2.5R,22,0.593,0.265
2.5R,24,0.607,0.259
2.5R,26,0.62,0.253
2.5R,28,0.631,0.248
5R,2,0.3392,0.3192
5R,4,0.374,0.322
5R,6,0.4078,0.3238
5R,8,0.4413,0.324
5R,10,0.4747,0.3227
5R,12,0.5071,0.3194
5R,14,0.5341,0.3158
5R,16,0.5637,0.3102
5R,18,0.5918,0.3038
5R,20,0.6142,0.297
5R,22,0.634,0.29
5R,24,0.648,0.284
5R,26,0.662,0.279
5R,28,0.674,0.274
7.5R,2,0.3425,0.3229
7.5R,4,0.3806,0.3294
7.5R,6,0.418,0.3348
7.5R,8,0.4563,0.3387
7.5R,10,0.4927,0.3399
7.5R,12,0.528,0.3389
7.5R,14,0.559,0.337
7.5R,16,0.5901,0.3331
7.5R,18,0.6161,0.3277
7.5R,20,0.6388,0.3216
7.5R,22,0.661,0.317
7.5R,24,0.68,0.312
7.5R,26,0.692,0.307
7.5R,28,0.708,0.302
10R,2,0.3465,0.3278
10R,4,0.3879,0.3398
10R,6,0.4299,0.3499
10R,8,0.4713,0.3575
10R,10,0.5113,0.363
10R,12,0.5481,0.366
10R,14,0.5771,0.3664
10R,16,0.6037,0.3657
10R,18,0.6297,0.3642
10R,20,0.655,0.361
10R,22,0.68,0.357
10R,24,0.702,0.354
10R,26,0.721,0.35
2.5YR,2,0.3506,0.3337
2.5YR,4,0.3925,0.3494
2.5YR,6,0.4365,0.364
2.5YR,8,0.4795,0.3758
2.5YR,10,0.5175,0.3844
2.5YR,12,0.5482,0.3909
2.5YR,14,0.5731,0.3953
2.5YR,16,0.5933,0.3989
2.5YR,18,0.617,0.402
2.5YR,20,0.636,0.406
5YR,2,0.353,0.3395
5YR,4,0.3968,0.3614
5YR,6,0.442,0.3808
5YR,8,0.483,0.396
5YR,10,0.5161,0.4064
5YR,12,0.5422,0.4141
5YR,14,0.5642,0.4201
5YR,16,0.584,0.425
5YR,18,0.601,0.429
7.5YR,2,0.354,0.3445
7.5YR,4,0.3991,0.3714
7.5YR,6,0.444,0.3954
7.5YR,8,0.482,0.4141
7.5YR,10,0.5108,0.4276
7.5YR,12,0.5335,0.4378
7.5YR,14,0.5506,0.445
7.5YR,16,0.568,0.453
10YR,2,0.3546,0.3514
10YR,4,0.3995,0.384
10YR,6,0.4428,0.4128
10YR,8,0.477,0.4338
10YR,10,0.5025,0.4489
10YR,12,0.5211,0.46
10YR,14,0.539,0.468
10YR,16,0.552,0.477
2.5Y,2,0.3534,0.357
2.5Y,4,0.3968,0.3954
2.5Y,6,0.438,0.4292
2.5Y,8,0.4685,0.4524
2.5Y,10,0.4905,0.4683
2.5Y,12,0.5082,0.4812
2.5Y,14,0.523,0.491
5Y,2,0.35,0.362
5Y,4,0.3915,0.4057
5Y,6,0.4302,0.4435
5Y,8,0.4579,0.4692
5Y,10,0.4777,0.4876
5Y,12,0.4932,0.5019
5Y,14,0.507,0.512
7.5Y,2,0.347,0.364
7.5Y,4,0.385,0.412
7.5Y,6,0.4199,0.4551
7.5Y,8,0.445,0.485
7.5Y,10,0.4632,0.5057
7.5Y,12,0.4767,0.5208
7.5Y,14,0.489,0.535
