H,C,x,y
10Y,2,0.3556,0.3848
10Y,4,0.4188,0.4789
10Y,6,0.482,0.576
2.5GY,2,0.3421,0.3803
2.5GY,4,0.3881,0.4752
2.5GY,6,0.434,0.59
2.5GY,8,0.476,0.716
5GY,2,0.3309,0.3743
5GY,4,0.3582,0.465
5GY,6,0.3839,0.5748
5GY,8,0.409,0.71
5GY,10,0.418,0.825
7.5GY,2,0.3165,0.365
7.5GY,4,0.3248,0.4457
7.5GY,6,0.326,0.5379
7.5GY,8,0.316,0.6509
7.5GY,10,0.297,0.768
7.5GY,12,0.274,0.879
7.5GY,14,0.243,1.01
10GY,2,0.3069,0.358
10GY,4,0.2986,0.424
10GY,6,0.2852,0.4972
10GY,8,0.2628,0.5837
10GY,10,0.2307,0.6814
10GY,12,0.1907,0.7798
10GY,14,0.141,0.876
10GY,16,0.061,0.998
10GY,18,-0.03,1.11
2.5G,2,0.2978,0.3507
2.5G,4,0.2763,0.3998
2.5G,6,0.2493,0.4522
2.5G,8,0.2192,0.5042
2.5G,10,0.1773,0.5698
2.5G,12,0.1307,0.6308
2.5G,14,0.082,0.686
2.5G,16,0.0329,0.7358
2.5G,18,-0.02,0.788
5G,2,0.2918,0.345
5G,4,0.264,0.3845
5G,6,0.2318,0.4231
5G,8,0.1979,0.4583
5G,10,0.156,0.4981
5G,12,0.112,0.5358
5G,14,0.0688,0.5691
5G,16,0.0277,0.5986
5G,18,-0.015,0.625
7.5G,2,0.2869,0.34
7.5G,4,0.254,0.3705
7.5G,6,0.22,0.3983
7.5G,8,0.1842,0.4244
7.5G,10,0.1442,0.4505
7.5G,12,0.1022,0.4759
7.5G,14,0.0629,0.4973
7.5G,16,0.0276,0.5153
7.5G,18,-0.01,0.532
10G,2,0.282,0.3341
10G,4,0.2442,0.3559
10G,6,0.2092,0.3739
10G,8,0.1705,0.3911
10G,10,0.1321,0.4059
10G,12,0.0934,0.4183
10G,14,0.0599,0.427
10G,16,0.0285,0.4327
10G,18,-0.007,0.441
2.5BG,2,0.2765,0.3271
2.5BG,4,0.2343,0.3378
2.5BG,6,0.1971,0.3452
2.5BG,8,0.1557,0.3517
2.5BG,10,0.119,0.3551
2.5BG,12,0.0851,0.3576
2.5BG,14,0.0555,0.3588
2.5BG,16,0.029,0.359
2.5BG,18,-0.002,0.36
5BG,2,0.2697,0.3175
5BG,4,0.2234,0.315
5BG,6,0.1843,0.311
5BG,8,0.1405,0.3037
5BG,10,0.105,0.2956
5BG,12,0.0769,0.288
5BG,14,0.051,0.28
5BG,16,0.028,0.274
7.5BG,2,0.2651,0.3098
7.5BG,4,0.2162,0.2981
7.5BG,6,0.1747,0.2853
7.5BG,8,0.1325,0.271
7.5BG,10,0.0991,0.2582
7.5BG,12,0.0724,0.2478
7.5BG,14,0.05,0.237
7.5BG,16,0.028,0.228
10BG,2,0.2606,0.301
10BG,4,0.2096,0.279
10BG,6,0.1669,0.257
10BG,8,0.1258,0.2331
10BG,10,0.0929,0.2133
10BG,12,0.068,0.194
10BG,14,0.05,0.181
2.5B,2,0.2578,0.294
2.5B,4,0.206,0.2649
2.5B,6,0.1621,0.2358
2.5B,8,0.123,0.2076
2.5B,10,0.0911,0.1828
2.5B,12,0.067,0.165
5B,2,0.2559,0.2874
5B,4,0.2048,0.2518
5B,6,0.1617,0.2162
5B,8,0.1245,0.1827
5B,10,0.0965,0.1558
5B,12,0.077,0.136
7.5B,2,0.2545,0.2799
7.5B,4,0.2063,0.24
7.5B,6,0.1658,0.2026
7.5B,8,0.1313,0.1692
7.5B,10,0.1051,0.1422
7.5B,12,0.088,0.124
7.5B,14,0.07,0.106
10B,2,0.2558,0.2725
10B,4,0.2102,0.2313
10B,6,0.1716,0.1937
10B,8,0.1396,0.1603
10B,10,0.1157,0.1346
10B,12,0.099,0.115
10B,14,0.083,0.097
2.5PB,2,0.2592,0.2675
2.5PB,4,0.2175,0.2245
2.5PB,6,0.1825,0.1857
2.5PB,8,0.154,0.153
2.5PB,10,0.1332,0.1278
2.5PB,12,0.1166,0.1076
2.5PB,14,0.102,0.089
2.5PB,16,0.092,0.076
2.5PB,18,0.084,0.064
5PB,2,0.2638,0.2624
5PB,4,0.2263,0.2192
5PB,6,0.1942,0.1811
5PB,8,0.1685,0.1491
5PB,10,0.15,0.124
5PB,12,0.1363,0.1048
5PB,14,0.1253,0.0873
5PB,16,0.117,0.074
