H,C,x,y
10Y,2,0.334,0.352
10Y,4,0.355,0.382
10Y,6,0.371,0.409
10Y,8,0.39,0.437
10Y,10,0.405,0.46
10Y,12,0.42,0.481
10Y,14,0.433,0.502
10Y,16,0.442,0.515
10Y,18,0.45,0.527
10Y,20,0.455,0.534
10Y,22,0.46,0.541
2.5GY,2,0.332,0.354
2.5GY,4,0.348,0.384
2.5GY,6,0.365,0.413
2.5GY,8,0.38,0.442
2.5GY,10,0.393,0.466
2.5GY,12,0.406,0.492
2.5GY,14,0.416,0.514
2.5GY,16,0.424,0.529
2.5GY,18,0.432,0.546
2.5GY,20,0.436,0.552
2.5GY,22,0.44,0.56
5GY,2,0.328,0.354
5GY,4,0.343,0.384
5GY,6,0.356,0.414
5GY,8,0.37,0.446
5GY,10,0.38,0.47
5GY,12,0.391,0.497
5GY,14,0.398,0.518
5GY,16,0.405,0.538
5GY,18,0.41,0.56
5GY,20,0.413,0.572
5GY,22,0.416,0.58
7.5GY,2,0.32,0.351
7.5GY,4,0.327,0.378
7.5GY,6,0.334,0.41
7.5GY,8,0.342,0.439
7.5GY,10,0.347,0.47
7.5GY,12,0.351,0.493
7.5GY,14,0.354,0.518
7.5GY,16,0.357,0.545
7.5GY,18,0.36,0.571
7.5GY,20,0.361,0.592
7.5GY,22,0.36,0.608
10GY,2,0.312,0.346
10GY,4,0.314,0.37
10GY,6,0.314,0.4
10GY,8,0.314,0.423
10GY,10,0.314,0.454
10GY,12,0.314,0.474
10GY,14,0.313,0.5
10GY,16,0.31,0.527
10GY,18,0.307,0.556
10GY,20,0.303,0.58
10GY,22,0.299,0.6
2.5G,2,0.306,0.342
2.5G,4,0.303,0.361
2.5G,6,0.298,0.385
2.5G,8,0.293,0.404
2.5G,10,0.286,0.427
2.5G,12,0.282,0.444
2.5G,14,0.276,0.467
2.5G,16,0.27,0.49
2.5G,18,0.262,0.517
2.5G,20,0.254,0.543
2.5G,22,0.248,0.563
5G,2,0.301,0.337
5G,4,0.293,0.353
5G,6,0.283,0.369
5G,8,0.274,0.384
5G,10,0.265,0.398
5G,12,0.256,0.412
5G,14,0.245,0.426
5G,16,0.235,0.44
5G,18,0.222,0.457
7.5G,2,0.298,0.333
7.5G,4,0.288,0.346
7.5G,6,0.277,0.36
7.5G,8,0.266,0.374
7.5G,10,0.256,0.385
7.5G,12,0.246,0.397
7.5G,14,0.235,0.409
7.5G,16,0.224,0.42
10G,2,0.296,0.331
10G,4,0.284,0.341
10G,6,0.271,0.351
10G,8,0.258,0.361
10G,10,0.248,0.369
10G,12,0.235,0.378
10G,14,0.223,0.387
2.5BG,2,0.294,0.327
2.5BG,4,0.28,0.335
2.5BG,6,0.265,0.343
2.5BG,8,0.251,0.35
2.5BG,10,0.241,0.357
2.5BG,12,0.227,0.362
2.5BG,14,0.213,0.368
5BG,2,0.293,0.323
5BG,4,0.277,0.33
5BG,6,0.262,0.335
5BG,8,0.246,0.34
5BG,10,0.233,0.342
5BG,12,0.22,0.345
5BG,14,0.203,0.348
7.5BG,2,0.293,0.318
7.5BG,4,0.273,0.32
7.5BG,6,0.256,0.321
7.5BG,8,0.238,0.322
7.5BG,10,0.224,0.322
7.5BG,12,0.209,0.322
10BG,2,0.293,0.315
10BG,4,0.27,0.313
10BG,6,0.251,0.311
10BG,8,0.234,0.31
10BG,10,0.219,0.308
10BG,12,0.203,0.305
2.5B,2,0.293,0.313
2.5B,4,0.27,0.308
2.5B,6,0.249,0.304
2.5B,8,0.232,0.299
2.5B,10,0.215,0.293
5B,2,0.294,0.312
5B,4,0.268,0.302
5B,6,0.248,0.296
5B,8,0.23,0.288
7.5B,2,0.295,0.31
7.5B,4,0.269,0.298
7.5B,6,0.249,0.287
10B,2,0.296,0.309
10B,4,0.272,0.294
10B,6,0.251,0.28
2.5PB,2,0.298,0.307
2.5PB,4,0.278,0.29
2.5PB,6,0.26,0.274
5PB,2,0.299,0.307
5PB,4,0.282,0.288
5PB,6,0.265,0.27
7.5PB,2,0.302,0.307
7.5PB,4,0.286,0.286
7.5PB,6,0.273,0.268
10PB,2,0.303,0.307
10PB,4,0.291,0.286
10PB,6,0.28,0.268
2.5P,2,0.305,0.307
2.5P,4,0.296,0.288
2.5P,6,0.289,0.27
5P,2,0.307,0.307
5P,4,0.302,0.289
5P,6,0.298,0.274
5P,8,0.294,0.258
7.5P,2,0.31,0.308
7.5P,4,0.311,0.294
7.5P,6,0.311,0.28
7.5P,8,0.311,0.266
10P,2,0.313,0.309
10P,4,0.317,0.297
10P,6,0.321,0.284
10P,8,0.326,0.273
10P,10,0.328,0.264
2.5RP,2,0.315,0.311
2.5RP,4,0.323,0.301
2.5RP,6,0.332,0.291
2.5RP,8,0.339,0.282
2.5RP,10,0.344,0.275
5RP,2,0.318,0.313
5RP,4,0.332,0.307
5RP,6,0.345,0.3
5RP,8,0.355,0.293
5RP,10,0.363,0.288
7.5RP,2,0.32,0.314
7.5RP,4,0.335,0.31
7.5RP,6,0.351,0.305
7.5RP,8,0.365,0.301
10RP,2,0.322,0.316
10RP,4,0.342,0.315
10RP,6,0.361,0.314
10RP,8,0.378,0.311
2.5R,2,0.324,0.318
2.5R,4,0.345,0.318
2.5R,6,0.366,0.318
2.5R,8,0.385,0.318
5R,2,0.326,0.32
5R,4,0.348,0.322
5R,6,0.372,0.325
5R,8,0.392,0.326
7.5R,2,0.329,0.322
7.5R,4,0.354,0.329
7.5R,6,0.38,0.334
7.5R,8,0.402,0.337
10R,2,0.332,0.326
10R,4,0.359,0.336
10R,6,0.386,0.344
10R,8,0.411,0.349
2.5YR,2,0.334,0.329
2.5YR,4,0.362,0.342
2.5YR,6,0.389,0.354
2.5YR,8,0.415,0.363
5YR,2,0.336,0.333
5YR,4,0.364,0.35
5YR,6,0.391,0.365
5YR,8,0.416,0.378
5YR,10,0.44,0.388
7.5YR,2,0.337,0.338
7.5YR,4,0.366,0.357
7.5YR,6,0.391,0.375
7.5YR,8,0.415,0.391
7.5YR,10,0.439,0.405
7.5YR,12,0.455,0.416
10YR,2,0.338,0.343
10YR,4,0.366,0.367
10YR,6,0.389,0.385
10YR,8,0.412,0.402
10YR,10,0.435,0.42
10YR,12,0.452,0.431
10YR,14,0.467,0.442
10YR,16,0.483,0.453
2.5Y,2,0.337,0.347
2.5Y,4,0.363,0.373
2.5Y,6,0.385,0.395
2.5Y,8,0.407,0.413
2.5Y,10,0.428,0.431
2.5Y,12,0.446,0.446
2.5Y,14,0.463,0.46
2.5Y,16,0.476,0.47
2.5Y,18,0.487,0.477
2.5Y,20,0.496,0.486
2.5Y,22,0.503,0.49
5Y,2,0.336,0.348
5Y,4,0.36,0.377
5Y,6,0.381,0.402
5Y,8,0.4,0.425
5Y,10,0.418,0.446
5Y,12,0.435,0.465
5Y,14,0.45,0.481
5Y,16,0.462,0.494
5Y,18,0.472,0.502
5Y,20,0.478,0.508
5Y,22,0.484,0.514
7.5Y,2,0.335,0.351
7.5Y,4,0.357,0.38
7.5Y,6,0.376,0.407
7.5Y,8,0.395,0.432
7.5Y,10,0.412,0.454
7.5Y,12,0.427,0.473
7.5Y,14,0.442,0.492
7.5Y,16,0.453,0.505
7.5Y,18,0.462,0.515
7.5Y,20,0.467,0.521
7.5Y,22,0.472,0.528
