H,C,x,y
10Y,2,0.542,0.67
2.5GY,2,0.423,0.59
2.5GY,4,0.735,1.82
5GY,2,0.358,0.528
5GY,4,0.323,1.467
7.5GY,2,0.312,0.482
7.5GY,4,0.128,1.141
10GY,2,0.277,0.445
10GY,4,0.041,0.906
2.5G,2,0.258,0.423
2.5G,4,0.005,0.743
5G,2,0.239,0.399
5G,4,-0.011,0.604
7.5G,2,0.226,0.38
7.5G,4,-0.011,0.501
10G,2,0.213,0.361
10G,4,-0.004,0.405
2.5BG,2,0.196,0.332
2.5BG,4,0.008,0.334
5BG,2,0.18,0.298
5BG,4,0.031,0.259
7.5BG,2,0.173,0.275
7.5BG,4,0.051,0.22
7.5BG,6,-0.005,0.193
10BG,2,0.169,0.249
10BG,4,0.074,0.187
10BG,6,0.032,0.149
2.5B,2,0.169,0.236
2.5B,4,0.087,0.172
2.5B,6,0.048,0.134
5B,2,0.172,0.223
5B,4,0.102,0.159
5B,6,0.067,0.119
7.5B,2,0.176,0.213
7.5B,4,0.113,0.151
7.5B,6,0.081,0.111
10B,2,0.183,0.203
10B,4,0.126,0.145
10B,6,0.093,0.105
10B,8,0.067,0.067
2.5PB,2,0.19,0.196
2.5PB,4,0.141,0.139
2.5PB,6,0.113,0.098
2.5PB,8,0.093,0.065
5PB,2,0.202,0.188
5PB,4,0.161,0.134
5PB,6,0.135,0.095
5PB,8,0.116,0.066
5PB,10,0.107,0.053
5PB,12,0.099,0.042
5PB,14,0.096,0.036
5PB,16,0.094,0.03
5PB,18,0.091,0.025
5PB,20,0.086,0.018
7.5PB,2,0.22,0.18
7.5PB,4,0.192,0.13
7.5PB,6,0.175,0.095
7.5PB,8,0.165,0.072
7.5PB,10,0.16,0.058
7.5PB,12,0.155,0.046
7.5PB,14,0.152,0.04
7.5PB,16,0.15,0.032
7.5PB,18,0.147,0.026
7.5PB,20,0.145,0.02
7.5PB,22,0.143,0.016
7.5PB,24,0.141,0.01
7.5PB,26,0.139,0.005
7.5PB,28,0.137,0.001
10PB,2,0.241,0.176
10PB,4,0.223,0.131
10PB,6,0.212,0.1
10PB,8,0.206,0.078
10PB,10,0.202,0.062
10PB,12,0.199,0.05
10PB,14,0.197,0.043
10PB,16,0.195,0.036
10PB,18,0.193,0.029
10PB,20,0.192,0.024
10PB,22,0.191,0.018
10PB,24,0.19,0.013
10PB,26,0.188,0.008
10PB,28,0.187,0.004
2.5P,2,0.259,0.177
2.5P,4,0.246,0.134
2.5P,6,0.238,0.104
2.5P,8,0.233,0.082
2.5P,10,0.23,0.064
2.5P,12,0.227,0.054
2.5P,14,0.226,0.045
2.5P,16,0.224,0.038
2.5P,18,0.223,0.031
2.5P,20,0.222,0.026
2.5P,22,0.22,0.02
2.5P,24,0.219,0.016
2.5P,26,0.218,0.01
5P,2,0.281,0.182
5P,4,0.272,0.138
5P,6,0.265,0.11
5P,8,0.26,0.087
5P,10,0.257,0.069
5P,12,0.253,0.057
5P,14,0.252,0.048
5P,16,0.25,0.04
5P,18,0.248,0.034
5P,20,0.247,0.028
7.5P,2,0.296,0.185
7.5P,4,0.289,0.142
7.5P,6,0.284,0.114
7.5P,8,0.28,0.091
7.5P,10,0.276,0.072
7.5P,12,0.273,0.059
7.5P,14,0.272,0.049
7.5P,16,0.27,0.042
7.5P,18,0.269,0.034
10P,2,0.309,0.189
10P,4,0.304,0.146
10P,6,0.302,0.119
10P,8,0.298,0.095
10P,10,0.296,0.073
10P,12,0.294,0.061
10P,14,0.293,0.052
10P,16,0.291,0.043
2.5RP,2,0.32,0.193
2.5RP,4,0.32,0.151
2.5RP,6,0.32,0.123
2.5RP,8,0.32,0.1
2.5RP,10,0.32,0.078
2.5RP,12,0.32,0.065
2.5RP,14,0.32,0.054
5RP,2,0.337,0.199
5RP,4,0.344,0.158
5RP,6,0.348,0.131
5RP,8,0.35,0.106
5RP,10,0.353,0.082
5RP,12,0.353,0.07
7.5RP,2,0.36,0.209
7.5RP,4,0.374,0.169
7.5RP,6,0.384,0.141
7.5RP,8,0.391,0.117
7.5RP,10,0.398,0.09
10RP,2,0.381,0.22
10RP,4,0.406,0.181
10RP,6,0.423,0.153
10RP,8,0.437,0.128
10RP,10,0.454,0.098
2.5R,2,0.411,0.236
2.5R,4,0.45,0.198
2.5R,6,0.477,0.17
2.5R,8,0.501,0.143
2.5R,10,0.529,0.113
5R,2,0.441,0.255
5R,4,0.498,0.219
5R,6,0.537,0.19
5R,8,0.575,0.161
7.5R,2,0.466,0.272
7.5R,4,0.539,0.238
7.5R,6,0.588,0.208
7.5R,8,0.635,0.176
10R,2,0.49,0.289
10R,4,0.582,0.258
10R,6,0.649,0.229
10R,8,0.706,0.196
2.5YR,2,0.534,0.324
2.5YR,4,0.665,0.298
2.5YR,6,0.755,0.27
2.5YR,8,0.844,0.241
5YR,2,0.585,0.367
5YR,4,0.775,0.362
5YR,6,0.889,0.344
7.5YR,2,0.638,0.42
7.5YR,4,0.908,0.452
10YR,2,0.698,0.499
2.5Y,2,0.729,0.588
5Y,2,0.721,0.656
7.5Y,2,0.659,0.7
