H,C,x,y
10Y,2,0.3359,0.3552
10Y,4,0.3581,0.3883
10Y,6,0.3803,0.4216
10Y,8,0.4008,0.452
10Y,10,0.419,0.4791
10Y,12,0.4341,0.502
10Y,14,0.445,0.5181
10Y,16,0.4525,0.5295
10Y,18,0.457,0.5366
10Y,20,0.461,0.542
2.5GY,2,0.3327,0.3555
2.5GY,4,0.3504,0.3887
2.5GY,6,0.369,0.423
2.5GY,8,0.3858,0.455
2.5GY,10,0.4021,0.4869
2.5GY,12,0.4154,0.5133
2.5GY,14,0.4261,0.5344
2.5GY,16,0.4327,0.5475
2.5GY,18,0.4371,0.5557
2.5GY,20,0.44,0.562
2.5GY,22,0.443,0.568
5GY,2,0.3284,0.3542
5GY,4,0.3433,0.3872
5GY,6,0.3573,0.4214
5GY,8,0.3696,0.4542
5GY,10,0.3816,0.4879
5GY,12,0.3924,0.5199
5GY,14,0.4011,0.5468
5GY,16,0.4061,0.5641
5GY,18,0.4104,0.5785
5GY,20,0.4127,0.5855
5GY,22,0.415,0.595
7.5GY,2,0.3194,0.3502
7.5GY,4,0.3266,0.3809
7.5GY,6,0.3339,0.4129
7.5GY,8,0.3408,0.4452
7.5GY,10,0.3463,0.4791
7.5GY,12,0.3511,0.5144
7.5GY,14,0.3546,0.549
7.5GY,16,0.3569,0.5798
7.5GY,18,0.3585,0.6063
7.5GY,20,0.3592,0.6235
7.5GY,22,0.36,0.645
7.5GY,24,0.36,0.66
7.5GY,26,0.361,0.679
7.5GY,28,0.361,0.696
10GY,2,0.3121,0.3459
10GY,4,0.314,0.3727
10GY,6,0.315,0.4014
10GY,8,0.3149,0.4284
10GY,10,0.314,0.4601
10GY,12,0.3124,0.4926
10GY,14,0.3091,0.5247
10GY,16,0.3043,0.5578
10GY,18,0.2987,0.5919
10GY,20,0.2918,0.6255
10GY,22,0.2846,0.6564
10GY,24,0.2781,0.684
10GY,26,0.271,0.702
10GY,28,0.262,0.726
10GY,30,0.252,0.752
10GY,32,0.24,0.784
2.5G,2,0.3053,0.3404
2.5G,4,0.3009,0.3614
2.5G,6,0.2952,0.3851
2.5G,8,0.2896,0.4065
2.5G,10,0.2829,0.4301
2.5G,12,0.2743,0.4554
2.5G,14,0.2661,0.478
2.5G,16,0.2563,0.5045
2.5G,18,0.2451,0.5309
2.5G,20,0.2339,0.5561
2.5G,22,0.2221,0.5799
2.5G,24,0.2091,0.6033
2.5G,26,0.196,0.622
2.5G,28,0.18,0.647
2.5G,30,0.163,0.67
2.5G,32,0.144,0.692
5G,2,0.3009,0.3359
5G,4,0.2924,0.3523
5G,6,0.2822,0.3702
5G,8,0.2723,0.3865
5G,10,0.2613,0.4026
5G,12,0.2489,0.4191
5G,14,0.2368,0.4348
5G,16,0.224,0.45
5G,18,0.2103,0.4652
5G,20,0.1956,0.4806
5G,22,0.1821,0.494
5G,24,0.168,0.507
5G,26,0.151,0.521
5G,28,0.134,0.537
5G,30,0.115,0.553
5G,32,0.096,0.564
7.5G,2,0.2981,0.3326
7.5G,4,0.2874,0.3464
7.5G,6,0.2754,0.3608
7.5G,8,0.2639,0.3733
7.5G,10,0.2515,0.3867
7.5G,12,0.238,0.4002
7.5G,14,0.2254,0.4125
7.5G,16,0.212,0.4252
7.5G,18,0.198,0.4372
7.5G,20,0.1845,0.4492
7.5G,22,0.17,0.459
7.5G,24,0.155,0.471
7.5G,26,0.139,0.483
7.5G,28,0.123,0.494
7.5G,30,0.105,0.507
10G,2,0.2957,0.3293
10G,4,0.2828,0.3403
10G,6,0.2693,0.3512
10G,8,0.2564,0.3611
10G,10,0.243,0.371
10G,12,0.2282,0.3811
10G,14,0.2148,0.3903
10G,16,0.2012,0.3992
10G,18,0.1866,0.4086
10G,20,0.1734,0.4164
10G,22,0.159,0.424
10G,24,0.142,0.433
10G,26,0.127,0.441
10G,28,0.112,0.448
2.5BG,2,0.294,0.3268
2.5BG,4,0.2791,0.3351
2.5BG,6,0.2647,0.3429
2.5BG,8,0.25,0.35
2.5BG,10,0.2352,0.3566
2.5BG,12,0.2196,0.363
2.5BG,14,0.2057,0.3681
2.5BG,16,0.1915,0.3732
2.5BG,18,0.1759,0.3782
2.5BG,20,0.162,0.383
2.5BG,22,0.148,0.387
2.5BG,24,0.132,0.392
2.5BG,26,0.116,0.396
5BG,2,0.2919,0.3228
5BG,4,0.2752,0.3278
5BG,6,0.2588,0.3318
5BG,8,0.2419,0.3352
5BG,10,0.2264,0.3383
5BG,12,0.2101,0.3412
5BG,14,0.1958,0.3432
5BG,16,0.1814,0.345
5BG,18,0.165,0.346
5BG,20,0.151,0.348
