H,C,x,y
5BG,22,0.138,0.349
5BG,24,0.122,0.351
5BG,26,0.105,0.352
7.5BG,2,0.29,0.3183
7.5BG,4,0.2718,0.32
7.5BG,6,0.2525,0.3198
7.5BG,8,0.2352,0.3198
7.5BG,10,0.2184,0.3196
7.5BG,12,0.201,0.3188
7.5BG,14,0.1868,0.3179
7.5BG,16,0.1721,0.3168
7.5BG,18,0.155,0.314
7.5BG,20,0.142,0.311
7.5BG,22,0.127,0.309
7.5BG,24,0.111,0.307
10BG,2,0.2894,0.3152
10BG,4,0.2686,0.313
10BG,6,0.2489,0.3099
10BG,8,0.2302,0.3063
10BG,10,0.212,0.3025
10BG,12,0.1937,0.2978
10BG,14,0.1788,0.2936
10BG,16,0.161,0.288
10BG,18,0.145,0.282
10BG,20,0.133,0.278
10BG,22,0.118,0.273
2.5B,2,0.2897,0.3124
2.5B,4,0.2668,0.3067
2.5B,6,0.2462,0.3
2.5B,8,0.2264,0.2923
2.5B,10,0.2066,0.2839
2.5B,12,0.1877,0.2752
2.5B,14,0.172,0.266
2.5B,16,0.152,0.256
2.5B,18,0.137,0.245
2.5B,20,0.123,0.235
5B,2,0.2908,0.3096
5B,4,0.2671,0.2998
5B,6,0.2457,0.2888
5B,8,0.2237,0.2761
5B,10,0.204,0.263
5B,12,0.182,0.247
5B,14,0.166,0.236
5B,16,0.148,0.221
5B,18,0.132,0.207
7.5B,2,0.2922,0.3077
7.5B,4,0.2688,0.2956
7.5B,6,0.2472,0.2821
7.5B,8,0.2252,0.2668
7.5B,10,0.205,0.25
7.5B,12,0.184,0.233
7.5B,14,0.168,0.219
7.5B,16,0.151,0.204
10B,2,0.2935,0.3062
10B,4,0.2718,0.2911
10B,6,0.2512,0.276
10B,8,0.2294,0.2587
10B,10,0.21,0.242
10B,12,0.19,0.224
10B,14,0.174,0.206
2.5PB,2,0.2957,0.3047
2.5PB,4,0.2758,0.2879
2.5PB,6,0.2562,0.2709
2.5PB,8,0.237,0.253
2.5PB,10,0.218,0.235
2.5PB,12,0.202,0.217
2.5PB,14,0.185,0.199
5PB,2,0.2974,0.3039
5PB,4,0.2798,0.2861
5PB,6,0.2614,0.267
5PB,8,0.244,0.249
5PB,10,0.227,0.229
5PB,12,0.214,0.214
5PB,14,0.2,0.194
7.5PB,2,0.3003,0.3034
7.5PB,4,0.2856,0.2846
7.5PB,6,0.2702,0.2648
7.5PB,8,0.255,0.244
7.5PB,10,0.241,0.224
7.5PB,12,0.232,0.21
7.5PB,14,0.221,0.193
10PB,2,0.3027,0.3035
10PB,4,0.2911,0.2848
10PB,6,0.2792,0.2649
10PB,8,0.2677,0.2443
10PB,10,0.257,0.225
10PB,12,0.248,0.211
10PB,14,0.24,0.196
10PB,16,0.233,0.185
2.5P,2,0.3048,0.304
2.5P,4,0.2962,0.285
2.5P,6,0.2881,0.2671
2.5P,8,0.28,0.2488
2.5P,10,0.274,0.231
2.5P,12,0.268,0.218
2.5P,14,0.263,0.204
2.5P,16,0.259,0.194
2.5P,18,0.255,0.183
5P,2,0.3065,0.3047
5P,4,0.3012,0.2868
5P,6,0.2963,0.2704
5P,8,0.2914,0.2534
5P,10,0.287,0.238
5P,12,0.283,0.224
5P,14,0.28,0.211
5P,16,0.278,0.201
5P,18,0.276,0.191
5P,20,0.273,0.179
5P,22,0.27,0.168
7.5P,2,0.3107,0.307
7.5P,4,0.3114,0.2915
7.5P,6,0.3114,0.2785
7.5P,8,0.3116,0.2626
7.5P,10,0.3116,0.2497
7.5P,12,0.3117,0.237
7.5P,14,0.311,0.224
7.5P,16,0.311,0.214
7.5P,18,0.311,0.204
7.5P,20,0.311,0.194
7.5P,22,0.311,0.184
7.5P,24,0.311,0.173
7.5P,26,0.311,0.162
10P,2,0.3131,0.3084
10P,4,0.3175,0.2955
10P,6,0.3213,0.2829
10P,8,0.325,0.27
10P,10,0.3282,0.2582
10P,12,0.3312,0.247
10P,14,0.3342,0.2349
10P,16,0.337,0.225
10P,18,0.339,0.217
10P,20,0.341,0.207
10P,22,0.344,0.196
10P,24,0.346,0.186
10P,26,0.348,0.176
2.5RP,2,0.3154,0.31
2.5RP,4,0.3239,0.3
2.5RP,6,0.3327,0.2898
2.5RP,8,0.3406,0.2793
2.5RP,10,0.3479,0.2699
2.5RP,12,0.3552,0.2594
2.5RP,14,0.3621,0.2496
2.5RP,16,0.369,0.24
2.5RP,18,0.373,0.233
2.5RP,20,0.379,0.224
2.5RP,22,0.385,0.215
2.5RP,24,0.389,0.206
2.5RP,26,0.394,0.197
5RP,2,0.318,0.312
5RP,4,0.3308,0.3052
5RP,6,0.344,0.2978
5RP,8,0.357,0.29
5RP,10,0.3685,0.2828
5RP,12,0.3818,0.2742
5RP,14,0.393,0.267
5RP,16,0.402,0.26
5RP,18,0.411,0.253
5RP,20,0.42,0.245
5RP,22,0.429,0.237
5RP,24,0.437,0.23
7.5RP,2,0.32,0.3136
7.5RP,4,0.336,0.3092
7.5RP,6,0.3521,0.3042
7.5RP,8,0.3682,0.2983
7.5RP,10,0.383,0.293
7.5RP,12,0.4002,0.2859
7.5RP,14,0.414,0.28
7.5RP,16,0.426,0.274
7.5RP,18,0.438,0.267
7.5RP,20,0.449,0.261
7.5RP,22,0.46,0.255
10RP,2,0.3218,0.3152
10RP,4,0.3412,0.3135
10RP,6,0.36,0.3112
10RP,8,0.38,0.3082
10RP,10,0.3983,0.3049
10RP,12,0.422,0.3
10RP,14,0.439,0.297
10RP,16,0.453,0.293
10RP,18,0.469,0.289
10RP,20,0.484,0.284
2.5R,2,0.3236,0.3169
2.5R,4,0.346,0.3177
2.5R,6,0.3671,0.3175
2.5R,8,0.39,0.3171
2.5R,10,0.4125,0.316
2.5R,12,0.439,0.314
2.5R,14,0.46,0.311
2.5R,16,0.476,0.308
2.5R,18,0.493,0.306
2.5R,20,0.51,0.303
5R,2,0.3254,0.3186
5R,4,0.351,0.3224
5R,6,0.3743,0.3248
5R,8,0.4001,0.3263
5R,10,0.4249,0.327
5R,12,0.454,0.326
5R,14,0.476,0.325
5R,16,0.494,0.324
5R,18,0.513,0.322
7.5R,2,0.3277,0.3211
7.5R,4,0.3564,0.3279
7.5R,6,0.383,0.3335
7.5R,8,0.4118,0.3385
7.5R,10,0.4388,0.3419
7.5R,12,0.47,0.345
7.5R,14,0.492,0.344
7.5R,16,0.514,0.344
7.5R,18,0.536,0.343
7.5R,20,0.553,0.343
10R,2,0.3301,0.3237
10R,4,0.3621,0.3349
10R,6,0.391,0.3442
10R,8,0.4212,0.3526
10R,10,0.449,0.3589
10R,12,0.481,0.365
10R,14,0.507,0.369
10R,16,0.529,0.371
10R,18,0.551,0.374
10R,20,0.569,0.374
10R,22,0.588,0.375
10R,24,0.607,0.375
10R,26,0.625,0.375
2.5YR,2,0.3334,0.3276
2.5YR,4,0.3667,0.3429
2.5YR,6,0.396,0.3547
2.5YR,8,0.4275,0.3662
2.5YR,10,0.4552,0.3761
2.5YR,12,0.4852,0.3847
2.5YR,14,0.513,0.391
2.5YR,16,0.533,0.396
2.5YR,18,0.551,0.399
2.5YR,20,0.566,0.402
2.5YR,22,0.58,0.403
2.5YR,24,0.592,0.404
2.5YR,26,0.602,0.405
5YR,2,0.3373,0.333
5YR,4,0.369,0.351
5YR,6,0.3988,0.3663
5YR,8,0.431,0.382
5YR,10,0.4576,0.3938
5YR,12,0.4849,0.405
5YR,14,0.5088,0.4145
5YR,16,0.53,0.421
5YR,18,0.542,0.425
5YR,20,0.553,0.427
5YR,22,0.561,0.431
5YR,24,0.571,0.433
5YR,26,0.578,0.435
7.5YR,2,0.3395,0.3379
7.5YR,4,0.3699,0.3586
7.5YR,6,0.4,0.377
7.5YR,8,0.4306,0.3952
7.5YR,10,0.4568,0.41
7.5YR,12,0.4816,0.4232
7.5YR,14,0.5025,0.4338
7.5YR,16,0.5195,0.4424
7.5YR,18,0.5316,0.448
7.5YR,20,0.5391,0.4518
7.5YR,22,0.546,0.454
7.5YR,24,0.553,0.458
10YR,2,0.3407,0.3434
10YR,4,0.3701,0.3674
10YR,6,0.3994,0.3896
10YR,8,0.428,0.4102
10YR,10,0.4527,0.4268
10YR,12,0.4753,0.4414
10YR,14,0.494,0.453
10YR,16,0.5079,0.4613
10YR,18,0.5179,0.467
10YR,20,0.5245,0.4709
10YR,22,0.53,0.474
2.5Y,2,0.3406,0.3484
2.5Y,4,0.3684,0.3751
2.5Y,6,0.3969,0.4009
2.5Y,8,0.4231,0.4231
2.5Y,10,0.4469,0.4423
2.5Y,12,0.4678,0.4589
2.5Y,14,0.4842,0.4712
2.5Y,16,0.4957,0.48
2.5Y,18,0.5033,0.4855
2.5Y,20,0.5091,0.49
2.5Y,22,0.514,0.494
5Y,2,0.3394,0.3518
5Y,4,0.365,0.3826
5Y,6,0.3913,0.4117
5Y,8,0.4158,0.4378
5Y,10,0.4376,0.4601
5Y,12,0.4562,0.4788
5Y,14,0.4699,0.492
5Y,16,0.4791,0.5012
5Y,18,0.4847,0.5069
5Y,20,0.49,0.511
5Y,22,0.493,0.515
7.5Y,2,0.3379,0.354
7.5Y,4,0.3622,0.3861
7.5Y,6,0.3862,0.4175
7.5Y,8,0.4088,0.4466
7.5Y,10,0.4283,0.4712
7.5Y,12,0.4455,0.4917
7.5Y,14,0.4574,0.5062
7.5Y,16,0.4658,0.5158
7.5Y,18,0.4709,0.522
7.5Y,20,0.475,0.526
