H,C,x,y
10Y,2,0.3802,0.4212
10Y,4,0.501,0.6
2.5GY,2,0.354,0.4088
2.5GY,4,0.439,0.615
2.5GY,6,0.48,0.723
5GY,2,0.3359,0.3982
5GY,4,0.3765,0.5942
5GY,6,0.398,0.74
7.5GY,2,0.3154,0.384
7.5GY,4,0.3133,0.538
7.5GY,6,0.29,0.706
7.5GY,8,0.235,0.944
10GY,2,0.3006,0.372
10GY,4,0.2722,0.4903
10GY,6,0.2232,0.6392
10GY,8,0.11,0.883
10GY,10,-0.013,1.065
2.5G,2,0.291,0.3634
2.5G,4,0.2454,0.4489
2.5G,6,0.1711,0.5619
2.5G,8,0.062,0.6896
2.5G,10,-0.022,0.776
5G,2,0.2833,0.3564
5G,4,0.229,0.4218
5G,6,0.1468,0.4996
5G,8,0.0559,0.571
5G,10,-0.02,0.62
7.5G,2,0.2758,0.3484
7.5G,4,0.2159,0.3967
7.5G,6,0.1344,0.4505
7.5G,8,0.053,0.4943
7.5G,10,-0.02,0.528
10G,2,0.2689,0.3407
10G,4,0.204,0.3724
10G,6,0.1249,0.4019
10G,8,0.0511,0.4158
10G,10,-0.018,0.424
2.5BG,2,0.26,0.3289
2.5BG,4,0.1883,0.3406
2.5BG,6,0.1169,0.3452
2.5BG,8,0.0476,0.3458
2.5BG,10,-0.017,0.344
5BG,2,0.25,0.3141
5BG,4,0.1753,0.3021
5BG,6,0.1093,0.286
5BG,8,0.046,0.264
5BG,10,-0.014,0.237
7.5BG,2,0.243,0.3023
7.5BG,4,0.1702,0.2768
7.5BG,6,0.1059,0.2485
7.5BG,8,0.05,0.218
10BG,2,0.2362,0.2882
10BG,4,0.1658,0.2496
10BG,6,0.1074,0.2129
10BG,8,0.06,0.18
2.5B,2,0.2322,0.2781
2.5B,4,0.1649,0.2324
2.5B,6,0.1118,0.1908
2.5B,8,0.071,0.155
5B,2,0.2291,0.2677
5B,4,0.1667,0.2168
5B,6,0.1212,0.1745
5B,8,0.084,0.139
5B,10,0.055,0.103
7.5B,2,0.2291,0.2579
7.5B,4,0.1716,0.2048
7.5B,6,0.1303,0.1639
7.5B,8,0.0968,0.128
7.5B,10,0.071,0.097
10B,2,0.2309,0.2491
10B,4,0.1783,0.1974
10B,6,0.1392,0.1563
10B,8,0.1077,0.1218
10B,10,0.084,0.094
2.5PB,2,0.236,0.242
2.5PB,4,0.1895,0.1911
2.5PB,6,0.1539,0.1491
2.5PB,8,0.1273,0.1157
2.5PB,10,0.106,0.09
2.5PB,12,0.091,0.068
2.5PB,14,0.078,0.056
5PB,2,0.2427,0.2368
5PB,4,0.2012,0.1867
5PB,6,0.1678,0.1447
5PB,8,0.1447,0.1124
5PB,10,0.1285,0.087
5PB,12,0.117,0.07
5PB,14,0.112,0.06
5PB,16,0.106,0.05
5PB,18,0.104,0.044
5PB,20,0.1,0.038
5PB,22,0.098,0.034
5PB,24,0.096,0.03
5PB,26,0.095,0.027
5PB,28,0.094,0.024
5PB,30,0.093,0.022
5PB,32,0.092,0.02
5PB,34,0.091,0.018
5PB,36,0.09,0.016
5PB,38,0.089,0.014
5PB,40,0.088,0.012
5PB,42,0.088,0.01
5PB,44,0.087,0.008
7.5PB,2,0.2547,0.231
7.5PB,4,0.2232,0.1821
7.5PB,6,0.2,0.1422
7.5PB,8,0.1872,0.1141
7.5PB,10,0.1804,0.095
7.5PB,12,0.1763,0.0804
7.5PB,14,0.1738,0.0688
7.5PB,16,0.172,0.0583
7.5PB,18,0.1709,0.0518
7.5PB,20,0.1701,0.0454
7.5PB,22,0.1696,0.0402
7.5PB,24,0.1691,0.0352
7.5PB,26,0.1689,0.0309
7.5PB,28,0.1686,0.027
7.5PB,30,0.1684,0.0234
7.5PB,32,0.1682,0.0202
7.5PB,34,0.1682,0.018
7.5PB,36,0.1681,0.016
7.5PB,38,0.168,0.014
7.5PB,40,0.168,0.012
7.5PB,42,0.168,0.01
7.5PB,44,0.168,0.008
7.5PB,46,0.168,0.006
7.5PB,48,0.168,0.004
10PB,2,0.2677,0.228
10PB,4,0.2459,0.1828
10PB,6,0.229,0.147
10PB,8,0.219,0.1228
10PB,10,0.212,0.1029
10PB,12,0.207,0.0869
10PB,14,0.2038,0.0745
10PB,16,0.2008,0.0638
10PB,18,0.1991,0.0564
10PB,20,0.1976,0.0493
10PB,22,0.1965,0.0436
10PB,24,0.1952,0.038
10PB,26,0.1942,0.0326
10PB,28,0.1936,0.0281
10PB,30,0.1928,0.024
10PB,32,0.193,0.021
10PB,34,0.193,0.019
10PB,36,0.193,0.016
10PB,38,0.193,0.014
10PB,40,0.193,0.013
10PB,42,0.192,0.011
10PB,44,0.192,0.009
10PB,46,0.192,0.007
10PB,48,0.192,0.005
2.5P,2,0.2808,0.2296
2.5P,4,0.2668,0.1874
2.5P,6,0.257,0.1559
2.5P,8,0.2496,0.1303
2.5P,10,0.2441,0.1112
2.5P,12,0.2394,0.094
2.5P,14,0.2361,0.081
2.5P,16,0.2331,0.0696
2.5P,18,0.2312,0.0618
2.5P,20,0.2295,0.0542
2.5P,22,0.2279,0.0473
2.5P,24,0.2266,0.0418
2.5P,26,0.2251,0.0355
2.5P,28,0.225,0.031
2.5P,30,0.224,0.026
2.5P,32,0.224,0.022
2.5P,34,0.223,0.02
2.5P,36,0.222,0.018
2.5P,38,0.222,0.015
2.5P,40,0.222,0.013
2.5P,42,0.222,0.011
5P,2,0.2936,0.233
5P,4,0.2854,0.1927
5P,6,0.2794,0.1628
5P,8,0.2742,0.1375
5P,10,0.2701,0.1178
5P,12,0.267,0.1006
5P,14,0.2645,0.0863
5P,16,0.2625,0.0746
5P,18,0.2612,0.0667
5P,20,0.2601,0.0586
5P,22,0.259,0.0509
5P,24,0.258,0.046
5P,26,0.258,0.039
5P,28,0.257,0.034
5P,30,0.256,0.028
5P,32,0.256,0.024
