H,C,x,y
7.5P,2,0.303,0.2361
7.5P,4,0.2991,0.1974
7.5P,6,0.296,0.1682
7.5P,8,0.2932,0.1429
7.5P,10,0.2905,0.1229
7.5P,12,0.2884,0.1059
7.5P,14,0.2868,0.0903
7.5P,16,0.2852,0.079
7.5P,18,0.2841,0.0706
7.5P,20,0.2831,0.0625
7.5P,22,0.282,0.055
7.5P,24,0.282,0.049
7.5P,26,0.281,0.042
10P,2,0.3132,0.2404
10P,4,0.3132,0.2032
10P,6,0.3126,0.1737
10P,8,0.3114,0.1481
10P,10,0.3102,0.1282
10P,12,0.3094,0.111
10P,14,0.3084,0.0952
10P,16,0.3078,0.0839
10P,18,0.3069,0.0748
10P,20,0.307,0.066
10P,22,0.306,0.058
10P,24,0.305,0.051
2.5RP,2,0.324,0.2459
2.5RP,4,0.329,0.2095
2.5RP,6,0.3321,0.1811
2.5RP,8,0.3342,0.1551
2.5RP,10,0.3354,0.1351
2.5RP,12,0.3361,0.1181
2.5RP,14,0.3368,0.102
2.5RP,16,0.3368,0.0902
2.5RP,18,0.337,0.08
2.5RP,20,0.336,0.07
2.5RP,22,0.336,0.061
5RP,2,0.3378,0.2542
5RP,4,0.3503,0.2196
5RP,6,0.3588,0.192
5RP,8,0.366,0.1662
5RP,10,0.3727,0.1458
5RP,12,0.3772,0.1283
5RP,14,0.3811,0.1138
5RP,16,0.384,0.102
5RP,18,0.386,0.092
5RP,20,0.389,0.079
7.5RP,2,0.3498,0.2617
7.5RP,4,0.3705,0.23
7.5RP,6,0.3865,0.2036
7.5RP,8,0.4005,0.1793
7.5RP,10,0.4132,0.158
7.5RP,12,0.424,0.14
7.5RP,14,0.433,0.125
7.5RP,16,0.44,0.113
10RP,2,0.3629,0.271
10RP,4,0.392,0.2423
10RP,6,0.4151,0.2169
10RP,8,0.4357,0.1921
10RP,10,0.4521,0.171
10RP,12,0.4668,0.1514
10RP,14,0.479,0.136
10RP,16,0.488,0.124
2.5R,2,0.3768,0.2816
2.5R,4,0.4166,0.2569
2.5R,6,0.4515,0.2329
2.5R,8,0.4812,0.2103
2.5R,10,0.5058,0.19
2.5R,12,0.533,0.169
2.5R,14,0.548,0.156
5R,2,0.3908,0.2929
5R,4,0.442,0.2728
5R,6,0.4885,0.2515
5R,8,0.5282,0.2297
5R,10,0.5604,0.21
5R,12,0.595,0.187
7.5R,2,0.402,0.3034
7.5R,4,0.466,0.2888
7.5R,6,0.5235,0.2698
7.5R,8,0.5722,0.2487
7.5R,10,0.6111,0.229
7.5R,12,0.654,0.204
10R,2,0.4128,0.3154
10R,4,0.4933,0.3068
10R,6,0.5584,0.2921
10R,8,0.6178,0.2713
10R,10,0.6661,0.2499
10R,12,0.711,0.227
2.5YR,2,0.4258,0.3344
2.5YR,4,0.5311,0.3371
2.5YR,6,0.6048,0.327
2.5YR,8,0.6721,0.3058
2.5YR,10,0.727,0.279
2.5YR,12,0.778,0.248
5YR,2,0.4377,0.358
5YR,4,0.566,0.3795
5YR,6,0.656,0.384
5YR,8,0.736,0.385
5YR,10,0.829,0.385
7.5YR,2,0.443,0.3775
7.5YR,4,0.585,0.422
7.5YR,6,0.685,0.442
10YR,2,0.4446,0.3982
10YR,4,0.591,0.464
2.5Y,2,0.4362,0.4177
2.5Y,4,0.581,0.505
5Y,2,0.423,0.4265
5Y,4,0.565,0.543
7.5Y,2,0.4042,0.4287
7.5Y,4,0.543,0.57
