H,C,x,y
10B,8,0.2277,0.2559
10B,10,0.2078,0.2382
10B,12,0.1883,0.2203
10B,14,0.172,0.206
10B,16,0.156,0.19
10B,18,0.141,0.176
10B,20,0.128,0.162
2.5PB,2,0.2932,0.3025
2.5PB,4,0.2729,0.2848
2.5PB,6,0.2538,0.2677
2.5PB,8,0.2352,0.2498
2.5PB,10,0.2162,0.2309
2.5PB,12,0.199,0.213
2.5PB,14,0.183,0.195
2.5PB,16,0.168,0.179
2.5PB,18,0.156,0.165
5PB,2,0.2952,0.3011
5PB,4,0.2773,0.2828
5PB,6,0.2596,0.2643
5PB,8,0.2427,0.2458
5PB,10,0.2254,0.2267
5PB,12,0.208,0.208
5PB,14,0.194,0.191
5PB,16,0.181,0.175
5PB,18,0.17,0.161
7.5PB,2,0.2982,0.3003
7.5PB,4,0.2833,0.2809
7.5PB,6,0.2687,0.2612
7.5PB,8,0.2546,0.2418
7.5PB,10,0.241,0.2224
7.5PB,12,0.228,0.204
7.5PB,14,0.217,0.189
7.5PB,16,0.207,0.173
7.5PB,18,0.198,0.16
7.5PB,20,0.188,0.146
10PB,2,0.3005,0.3
10PB,4,0.2886,0.2801
10PB,6,0.2776,0.2612
10PB,8,0.267,0.2425
10PB,10,0.2563,0.224
10PB,12,0.2465,0.2058
10PB,14,0.239,0.191
10PB,16,0.232,0.178
10PB,18,0.225,0.166
10PB,20,0.219,0.152
10PB,22,0.212,0.14
2.5P,2,0.3031,0.3
2.5P,4,0.295,0.281
2.5P,6,0.2873,0.2633
2.5P,8,0.2799,0.2459
2.5P,10,0.2729,0.2289
2.5P,12,0.2664,0.2127
2.5P,14,0.261,0.198
2.5P,16,0.256,0.185
2.5P,18,0.252,0.176
2.5P,20,0.248,0.162
2.5P,22,0.244,0.15
2.5P,24,0.24,0.14
5P,2,0.3059,0.301
5P,4,0.3009,0.2831
5P,6,0.2961,0.2663
5P,8,0.2918,0.2504
5P,10,0.2872,0.2343
5P,12,0.2833,0.2197
5P,14,0.2801,0.2068
5P,16,0.277,0.194
5P,18,0.274,0.182
5P,20,0.271,0.17
5P,22,0.268,0.158
5P,24,0.265,0.148
5P,26,0.262,0.137
5P,28,0.26,0.128
7.5P,2,0.3109,0.3037
7.5P,4,0.3111,0.288
7.5P,6,0.3111,0.273
7.5P,8,0.3109,0.2584
7.5P,10,0.3108,0.2442
7.5P,12,0.3104,0.232
7.5P,14,0.3101,0.2192
7.5P,16,0.3099,0.2074
7.5P,18,0.3093,0.1962
7.5P,20,0.308,0.185
7.5P,22,0.308,0.174
7.5P,24,0.307,0.164
7.5P,26,0.306,0.154
7.5P,28,0.305,0.145
7.5P,30,0.304,0.136
10P,2,0.3138,0.3054
10P,4,0.3181,0.292
10P,6,0.3221,0.2786
10P,8,0.3256,0.2654
10P,10,0.3288,0.2531
10P,12,0.3314,0.2423
10P,14,0.3341,0.2308
10P,16,0.3368,0.2192
10P,18,0.3391,0.2088
10P,20,0.341,0.1988
10P,22,0.343,0.1883
10P,24,0.344,0.179
10P,26,0.344,0.17
10P,28,0.345,0.162
10P,30,0.346,0.154
2.5RP,2,0.317,0.3076
2.5RP,4,0.3254,0.2971
2.5RP,6,0.3338,0.2854
2.5RP,8,0.3417,0.2745
2.5RP,10,0.3487,0.2648
2.5RP,12,0.3555,0.2545
2.5RP,14,0.362,0.2448
2.5RP,16,0.3688,0.2342
2.5RP,18,0.3751,0.2241
2.5RP,20,0.3811,0.2143
2.5RP,22,0.385,0.206
2.5RP,24,0.389,0.2
2.5RP,26,0.394,0.192
2.5RP,28,0.398,0.184
2.5RP,30,0.402,0.178
5RP,2,0.3206,0.3104
5RP,4,0.3332,0.3032
5RP,6,0.347,0.2949
5RP,8,0.3603,0.2869
5RP,10,0.3713,0.2798
5RP,12,0.3841,0.271
5RP,14,0.3958,0.2628
5RP,16,0.4076,0.254
5RP,18,0.4186,0.2459
5RP,20,0.426,0.239
5RP,22,0.436,0.232
5RP,24,0.443,0.226
5RP,26,0.452,0.217
5RP,28,0.46,0.211
7.5RP,2,0.3232,0.3125
7.5RP,4,0.3389,0.3079
7.5RP,6,0.3562,0.3022
7.5RP,8,0.3722,0.2963
7.5RP,10,0.3871,0.2906
7.5RP,12,0.404,0.2834
7.5RP,14,0.4195,0.2762
7.5RP,16,0.4346,0.2689
7.5RP,18,0.448,0.261
7.5RP,20,0.46,0.255
7.5RP,22,0.471,0.249
7.5RP,24,0.481,0.243
7.5RP,26,0.491,0.236
10RP,2,0.3258,0.3148
10RP,4,0.3446,0.3125
10RP,6,0.3648,0.3098
10RP,8,0.3851,0.3067
10RP,10,0.404,0.303
10RP,12,0.426,0.298
10RP,14,0.4456,0.2931
10RP,16,0.4648,0.2878
10RP,18,0.483,0.283
10RP,20,0.498,0.279
10RP,22,0.511,0.274
10RP,24,0.526,0.267
2.5R,2,0.3284,0.317
2.5R,4,0.3499,0.3171
2.5R,6,0.3728,0.317
2.5R,8,0.3961,0.316
2.5R,10,0.4183,0.3144
2.5R,12,0.4435,0.3119
2.5R,14,0.466,0.3082
2.5R,16,0.4885,0.3039
2.5R,18,0.507,0.3
2.5R,20,0.523,0.296
2.5R,22,0.536,0.291
2.5R,24,0.553,0.287
5R,2,0.3306,0.319
5R,4,0.3552,0.3222
5R,6,0.3805,0.3244
5R,8,0.4067,0.3256
5R,10,0.432,0.326
5R,12,0.4595,0.3252
5R,14,0.4848,0.3238
5R,16,0.51,0.321
5R,18,0.53,0.318
5R,20,0.547,0.315
5R,22,0.563,0.311
5R,24,0.58,0.306
7.5R,2,0.3335,0.322
7.5R,4,0.3611,0.3282
7.5R,6,0.3888,0.3336
7.5R,8,0.4196,0.3382
7.5R,10,0.447,0.3413
7.5R,12,0.4777,0.3435
7.5R,14,0.5059,0.345
7.5R,16,0.5341,0.3452
7.5R,18,0.554,0.343
7.5R,20,0.573,0.341
7.5R,22,0.592,0.338
7.5R,24,0.607,0.335
7.5R,26,0.622,0.332
10R,2,0.336,0.3253
10R,4,0.3671,0.336
10R,6,0.3984,0.3452
10R,8,0.4308,0.3533
10R,10,0.46,0.3596
10R,12,0.493,0.3659
10R,14,0.5234,0.37
10R,16,0.5519,0.3729
10R,18,0.571,0.373
10R,20,0.592,0.374
10R,22,0.614,0.374
10R,24,0.63,0.372
10R,26,0.647,0.369
2.5YR,2,0.3392,0.3298
2.5YR,4,0.3715,0.3439
2.5YR,6,0.4053,0.357
2.5YR,8,0.4371,0.3679
2.5YR,10,0.4671,0.3768
2.5YR,12,0.5001,0.3861
2.5YR,14,0.5297,0.3938
2.5YR,16,0.5522,0.3989
2.5YR,18,0.5695,0.4024
2.5YR,20,0.5824,0.4046
2.5YR,22,0.594,0.407
2.5YR,24,0.602,0.409
5YR,2,0.3421,0.3349
5YR,4,0.375,0.353
5YR,6,0.4091,0.3701
5YR,8,0.4402,0.3842
5YR,10,0.4711,0.3972
5YR,12,0.5007,0.4081
5YR,14,0.5252,0.4168
5YR,16,0.5437,0.4228
5YR,18,0.5564,0.4267
5YR,20,0.5657,0.4298
5YR,22,0.575,0.434
7.5YR,2,0.3437,0.3397
7.5YR,4,0.3772,0.3613
7.5YR,6,0.4107,0.382
7.5YR,8,0.4415,0.3996
7.5YR,10,0.4704,0.4151
7.5YR,12,0.497,0.4282
7.5YR,14,0.5174,0.4381
7.5YR,16,0.5319,0.4449
7.5YR,18,0.5417,0.4492
7.5YR,20,0.548,0.453
7.5YR,22,0.556,0.456
10YR,2,0.3443,0.3454
10YR,4,0.3778,0.3719
10YR,6,0.4102,0.396
10YR,8,0.4399,0.4164
10YR,10,0.4667,0.4335
10YR,12,0.49,0.448
10YR,14,0.5074,0.4581
10YR,16,0.5188,0.465
10YR,18,0.5276,0.47
10YR,20,0.532,0.474
2.5Y,2,0.3436,0.3507
2.5Y,4,0.3761,0.38
2.5Y,6,0.4073,0.4073
2.5Y,8,0.4353,0.4312
2.5Y,10,0.4606,0.4516
2.5Y,12,0.4806,0.4666
2.5Y,14,0.495,0.4773
2.5Y,16,0.5049,0.4843
2.5Y,18,0.511,0.488
2.5Y,20,0.516,0.492
5Y,2,0.3419,0.354
5Y,4,0.3718,0.3885
5Y,6,0.4009,0.4198
5Y,8,0.4271,0.4462
5Y,10,0.4509,0.4696
5Y,12,0.4677,0.4857
5Y,14,0.4791,0.4965
5Y,16,0.4875,0.5047
5Y,18,0.493,0.509
5Y,20,0.498,0.513
7.5Y,2,0.3396,0.3558
7.5Y,4,0.3677,0.3925
7.5Y,6,0.3943,0.4264
7.5Y,8,0.4184,0.4568
7.5Y,10,0.44,0.483
7.5Y,12,0.4547,0.5005
7.5Y,14,0.4652,0.5128
7.5Y,16,0.4728,0.5215
7.5Y,18,0.477,0.527
