H,C,x,y
10Y,2,0.3369,0.3569
10Y,4,0.3624,0.3951
10Y,6,0.3864,0.4305
10Y,8,0.409,0.4641
10Y,10,0.4289,0.4937
10Y,12,0.442,0.5131
10Y,14,0.4516,0.5277
10Y,16,0.4582,0.5375
10Y,18,0.462,0.543
2.5GY,2,0.3328,0.3569
2.5GY,4,0.3534,0.3953
2.5GY,6,0.3728,0.4316
2.5GY,8,0.3919,0.4684
2.5GY,10,0.4091,0.503
2.5GY,12,0.4213,0.527
2.5GY,14,0.4309,0.5459
2.5GY,16,0.4366,0.5578
2.5GY,18,0.439,0.564
5GY,2,0.3284,0.3559
5GY,4,0.3437,0.3929
5GY,6,0.3581,0.4291
5GY,8,0.3722,0.4669
5GY,10,0.3852,0.5051
5GY,12,0.3949,0.5367
5GY,14,0.4027,0.5615
5GY,16,0.4076,0.5783
5GY,18,0.41,0.589
5GY,20,0.413,0.601
7.5GY,2,0.319,0.3516
7.5GY,4,0.3267,0.3848
7.5GY,6,0.3341,0.4191
7.5GY,8,0.3406,0.4558
7.5GY,10,0.3461,0.495
7.5GY,12,0.3502,0.5328
7.5GY,14,0.3532,0.57
7.5GY,16,0.3549,0.6
7.5GY,18,0.3555,0.6242
7.5GY,20,0.356,0.642
7.5GY,22,0.356,0.661
7.5GY,24,0.356,0.676
10GY,2,0.3117,0.3469
10GY,4,0.3133,0.3764
10GY,6,0.3142,0.4058
10GY,8,0.314,0.4387
10GY,10,0.3123,0.4732
10GY,12,0.3092,0.5095
10GY,14,0.3047,0.5458
10GY,16,0.2981,0.5835
10GY,18,0.2905,0.6186
10GY,20,0.2816,0.6563
10GY,22,0.2728,0.6893
10GY,24,0.262,0.727
10GY,26,0.252,0.758
10GY,28,0.242,0.79
10GY,30,0.233,0.819
10GY,32,0.224,0.851
2.5G,2,0.3047,0.3413
2.5G,4,0.2992,0.3644
2.5G,6,0.2933,0.3873
2.5G,8,0.2861,0.4129
2.5G,10,0.2775,0.4395
2.5G,12,0.2672,0.4667
2.5G,14,0.2568,0.4931
2.5G,16,0.2448,0.5203
2.5G,18,0.2328,0.5467
2.5G,20,0.2181,0.5744
2.5G,22,0.2029,0.6017
2.5G,24,0.1875,0.6265
2.5G,26,0.1689,0.6549
2.5G,28,0.149,0.681
2.5G,30,0.126,0.709
2.5G,32,0.106,0.733
2.5G,34,0.081,0.759
5G,2,0.3001,0.3366
5G,4,0.2902,0.3548
5G,6,0.2801,0.3721
5G,8,0.2687,0.3901
5G,10,0.2554,0.4087
5G,12,0.2416,0.4267
5G,14,0.2262,0.445
5G,16,0.2111,0.4616
5G,18,0.1967,0.4771
5G,20,0.1805,0.4933
5G,22,0.1659,0.5074
5G,24,0.1521,0.52
5G,26,0.1397,0.5312
5G,28,0.123,0.546
5G,30,0.105,0.56
5G,32,0.088,0.573
5G,34,0.069,0.587
7.5G,2,0.2972,0.3333
7.5G,4,0.285,0.3482
7.5G,6,0.2728,0.3622
7.5G,8,0.2595,0.3764
7.5G,10,0.2445,0.3914
7.5G,12,0.2295,0.4058
7.5G,14,0.2139,0.4199
7.5G,16,0.1982,0.433
7.5G,18,0.1841,0.4448
7.5G,20,0.1688,0.457
7.5G,22,0.1539,0.4683
7.5G,24,0.1415,0.4778
7.5G,26,0.1303,0.4858
7.5G,28,0.115,0.497
7.5G,30,0.099,0.507
7.5G,32,0.084,0.517
7.5G,34,0.069,0.527
10G,2,0.2945,0.3297
10G,4,0.2803,0.3415
10G,6,0.2662,0.3526
10G,8,0.2513,0.3635
10G,10,0.2352,0.3748
10G,12,0.2195,0.3854
10G,14,0.2033,0.3956
10G,16,0.1881,0.4049
10G,18,0.1734,0.4135
10G,20,0.1589,0.422
10G,22,0.1434,0.4306
10G,24,0.131,0.4377
10G,26,0.121,0.443
10G,28,0.108,0.449
10G,30,0.094,0.457
10G,32,0.083,0.463
2.5BG,2,0.2927,0.3269
2.5BG,4,0.2764,0.3354
2.5BG,6,0.2608,0.343
2.5BG,8,0.2439,0.3508
2.5BG,10,0.2264,0.3576
2.5BG,12,0.2102,0.3636
2.5BG,14,0.1932,0.3694
2.5BG,16,0.1788,0.3739
2.5BG,18,0.1626,0.3788
2.5BG,20,0.149,0.3827
2.5BG,22,0.1334,0.387
2.5BG,24,0.122,0.39
2.5BG,26,0.111,0.392
2.5BG,28,0.099,0.394
2.5BG,30,0.088,0.397
2.5BG,32,0.079,0.398
5BG,2,0.2898,0.3225
5BG,4,0.2712,0.3269
5BG,6,0.2543,0.3302
5BG,8,0.2354,0.3335
5BG,10,0.2163,0.3361
5BG,12,0.1997,0.3379
5BG,14,0.1838,0.339
5BG,16,0.1675,0.3401
5BG,18,0.1515,0.341
5BG,20,0.138,0.3412
5BG,22,0.122,0.34
5BG,24,0.11,0.34
5BG,26,0.101,0.34
5BG,28,0.092,0.34
5BG,30,0.083,0.339
7.5BG,2,0.2878,0.3182
7.5BG,4,0.2671,0.3189
7.5BG,6,0.249,0.3186
7.5BG,8,0.2292,0.3178
7.5BG,10,0.2094,0.3165
7.5BG,12,0.1914,0.3148
7.5BG,14,0.1751,0.3129
7.5BG,16,0.1584,0.3101
7.5BG,18,0.1427,0.3076
7.5BG,20,0.13,0.305
7.5BG,22,0.114,0.302
7.5BG,24,0.102,0.3
7.5BG,26,0.094,0.298
10BG,2,0.2869,0.3143
10BG,4,0.2642,0.3109
10BG,6,0.2448,0.3069
10BG,8,0.2235,0.3014
10BG,10,0.2035,0.2956
10BG,12,0.1841,0.2892
10BG,14,0.1671,0.2832
10BG,16,0.1489,0.2768
10BG,18,0.134,0.271
10BG,20,0.122,0.266
10BG,22,0.108,0.26
10BG,24,0.094,0.253
2.5B,2,0.2867,0.311
2.5B,4,0.2629,0.3038
2.5B,6,0.2418,0.296
2.5B,8,0.2208,0.2871
2.5B,10,0.1994,0.2775
2.5B,12,0.1797,0.2672
2.5B,14,0.1624,0.2581
2.5B,16,0.1435,0.2472
2.5B,18,0.13,0.239
2.5B,20,0.117,0.231
2.5B,22,0.104,0.222
5B,2,0.2875,0.3078
5B,4,0.2633,0.2972
5B,6,0.241,0.2854
5B,8,0.2204,0.2729
5B,10,0.1986,0.2579
5B,12,0.1778,0.243
5B,14,0.1615,0.2307
5B,16,0.145,0.219
5B,18,0.128,0.206
5B,20,0.114,0.195
7.5B,2,0.2888,0.3058
7.5B,4,0.2651,0.2927
7.5B,6,0.2436,0.2787
7.5B,8,0.2225,0.2631
7.5B,10,0.2016,0.2466
7.5B,12,0.1818,0.2303
7.5B,14,0.165,0.216
7.5B,16,0.149,0.202
7.5B,18,0.132,0.187
7.5B,20,0.121,0.175
10B,2,0.2908,0.3039
10B,4,0.2685,0.2886
10B,6,0.2478,0.2728
