H,C,x,y
10Y,2,0.432,0.501
10Y,4,0.902,1.223
2.5GY,2,0.377,0.468
2.5GY,4,0.603,1.169
5GY,2,0.342,0.442
5GY,4,0.41,0.995
7.5GY,2,0.315,0.42
7.5GY,4,0.274,0.792
7.5GY,6,-0.045,1.459
10GY,2,0.292,0.399
10GY,4,0.208,0.652
10GY,6,-0.128,1.125
2.5G,2,0.281,0.388
2.5G,4,0.175,0.561
2.5G,6,-0.143,0.889
5G,2,0.27,0.376
5G,4,0.152,0.493
5G,6,-0.128,0.682
7.5G,2,0.259,0.363
7.5G,4,0.137,0.44
7.5G,6,-0.102,0.541
10G,2,0.247,0.349
10G,4,0.124,0.389
10G,6,-0.068,0.425
2.5BG,2,0.236,0.334
2.5BG,4,0.117,0.341
2.5BG,6,-0.036,0.334
5BG,2,0.221,0.311
5BG,4,0.112,0.284
5BG,6,0.009,0.243
7.5BG,2,0.213,0.295
7.5BG,4,0.113,0.254
7.5BG,6,0.03,0.211
10BG,2,0.206,0.276
10BG,4,0.116,0.221
10BG,6,0.052,0.176
2.5B,2,0.202,0.26
2.5B,4,0.123,0.202
2.5B,6,0.071,0.157
2.5B,8,0.017,0.111
5B,2,0.202,0.245
5B,4,0.134,0.187
5B,6,0.088,0.145
5B,8,0.044,0.1
7.5B,2,0.204,0.235
7.5B,4,0.143,0.178
7.5B,6,0.099,0.136
7.5B,8,0.06,0.096
10B,2,0.209,0.227
10B,4,0.153,0.172
10B,6,0.115,0.128
10B,8,0.084,0.091
2.5PB,2,0.215,0.221
2.5PB,4,0.166,0.165
2.5PB,6,0.131,0.122
2.5PB,8,0.106,0.09
2.5PB,10,0.089,0.068
2.5PB,12,0.079,0.055
5PB,2,0.223,0.215
5PB,4,0.182,0.16
5PB,6,0.152,0.118
5PB,8,0.131,0.088
5PB,10,0.118,0.069
5PB,12,0.11,0.057
5PB,14,0.104,0.048
5PB,16,0.099,0.04
5PB,18,0.093,0.032
5PB,20,0.088,0.024
5PB,22,0.084,0.018
7.5PB,2,0.239,0.208
7.5PB,4,0.208,0.155
7.5PB,6,0.188,0.117
7.5PB,8,0.176,0.092
7.5PB,10,0.168,0.074
7.5PB,12,0.163,0.062
7.5PB,14,0.159,0.053
7.5PB,16,0.156,0.045
7.5PB,18,0.153,0.037
7.5PB,20,0.15,0.03
7.5PB,22,0.148,0.025
7.5PB,24,0.146,0.02
7.5PB,26,0.144,0.014
7.5PB,28,0.142,0.008
7.5PB,30,0.14,0.004
10PB,2,0.257,0.204
10PB,4,0.237,0.157
10PB,6,0.225,0.124
10PB,8,0.216,0.098
10PB,10,0.211,0.082
10PB,12,0.208,0.07
10PB,14,0.204,0.058
10PB,16,0.202,0.05
10PB,18,0.2,0.042
10PB,20,0.198,0.035
10PB,22,0.196,0.029
10PB,24,0.195,0.024
10PB,26,0.194,0.018
10PB,28,0.192,0.012
10PB,30,0.19,0.006
2.5P,2,0.272,0.205
2.5P,4,0.258,0.16
2.5P,6,0.25,0.129
2.5P,8,0.244,0.104
2.5P,10,0.24,0.088
2.5P,12,0.238,0.075
2.5P,14,0.235,0.06
2.5P,16,0.233,0.053
2.5P,18,0.232,0.044
2.5P,20,0.23,0.038
2.5P,22,0.229,0.032
2.5P,24,0.228,0.027
2.5P,26,0.227,0.021
2.5P,28,0.226,0.014
5P,2,0.287,0.207
5P,4,0.28,0.166
5P,6,0.274,0.136
5P,8,0.27,0.11
5P,10,0.268,0.094
5P,12,0.266,0.08
5P,14,0.264,0.065
5P,16,0.263,0.056
5P,18,0.262,0.046
5P,20,0.261,0.041
5P,22,0.26,0.034
5P,24,0.26,0.03
7.5P,2,0.301,0.211
7.5P,4,0.296,0.17
7.5P,6,0.292,0.141
7.5P,8,0.288,0.115
7.5P,10,0.284,0.098
7.5P,12,0.281,0.083
7.5P,14,0.279,0.067
7.5P,16,0.277,0.056
7.5P,18,0.276,0.049
7.5P,20,0.275,0.042
10P,2,0.311,0.214
10P,4,0.308,0.174
10P,6,0.306,0.145
10P,8,0.304,0.119
10P,10,0.302,0.101
10P,12,0.301,0.087
10P,14,0.299,0.069
10P,16,0.298,0.06
10P,18,0.297,0.051
2.5RP,2,0.322,0.218
2.5RP,4,0.324,0.179
2.5RP,6,0.325,0.151
2.5RP,8,0.326,0.125
2.5RP,10,0.326,0.106
2.5RP,12,0.326,0.092
2.5RP,14,0.326,0.073
2.5RP,16,0.325,0.062
5RP,2,0.337,0.226
5RP,4,0.347,0.189
5RP,6,0.354,0.159
5RP,8,0.359,0.135
5RP,10,0.363,0.114
5RP,12,0.366,0.099
5RP,14,0.37,0.08
5RP,16,0.373,0.068
7.5RP,2,0.355,0.236
7.5RP,4,0.373,0.2
7.5RP,6,0.387,0.17
7.5RP,8,0.397,0.146
7.5RP,10,0.406,0.124
7.5RP,12,0.413,0.106
7.5RP,14,0.421,0.087
10RP,2,0.372,0.247
10RP,4,0.399,0.211
10RP,6,0.419,0.182
10RP,8,0.434,0.158
10RP,10,0.447,0.135
10RP,12,0.459,0.114
2.5R,2,0.391,0.26
2.5R,4,0.432,0.227
2.5R,6,0.464,0.2
2.5R,8,0.489,0.176
2.5R,10,0.511,0.154
2.5R,12,0.537,0.126
5R,2,0.411,0.274
5R,4,0.469,0.246
5R,6,0.514,0.221
5R,8,0.551,0.197
5R,10,0.586,0.176
7.5R,2,0.431,0.29
7.5R,4,0.502,0.264
7.5R,6,0.558,0.24
7.5R,8,0.604,0.214
7.5R,10,0.64,0.192
10R,2,0.447,0.305
10R,4,0.537,0.284
10R,6,0.605,0.261
10R,8,0.66,0.235
10R,10,0.704,0.214
2.5YR,2,0.474,0.332
2.5YR,4,0.603,0.322
2.5YR,6,0.693,0.303
2.5YR,8,0.787,0.282
2.5YR,10,0.846,0.266
5YR,2,0.505,0.367
5YR,4,0.673,0.371
5YR,6,0.805,0.362
5YR,8,0.93,0.347
7.5YR,2,0.526,0.397
7.5YR,4,0.764,0.441
10YR,2,0.551,0.444
10YR,4,0.899,0.587
2.5Y,2,0.563,0.491
2.5Y,4,0.995,0.734
5Y,2,0.548,0.526
7.5Y,2,0.502,0.531
7.5Y,4,1.044,1.074
