H,C,x,y
7.5BG,12,0.1086,0.2706
7.5BG,14,0.0874,0.2627
7.5BG,16,0.0691,0.2559
7.5BG,18,0.053,0.249
7.5BG,20,0.039,0.242
10BG,2,0.266,0.305
10BG,4,0.2221,0.2886
10BG,6,0.1861,0.2722
10BG,8,0.1551,0.2571
10BG,10,0.125,0.2411
10BG,12,0.1018,0.2281
10BG,14,0.0798,0.2151
10BG,16,0.065,0.206
10BG,18,0.053,0.199
2.5B,2,0.2636,0.2983
2.5B,4,0.2183,0.2748
2.5B,6,0.1826,0.2536
2.5B,8,0.1511,0.2331
2.5B,10,0.122,0.2132
2.5B,12,0.0989,0.1963
2.5B,14,0.08,0.18
2.5B,16,0.065,0.17
5B,2,0.2617,0.2921
5B,4,0.2176,0.2632
5B,6,0.1835,0.2375
5B,8,0.1527,0.2119
5B,10,0.1259,0.1879
5B,12,0.1042,0.1681
5B,14,0.086,0.15
5B,16,0.071,0.137
7.5B,2,0.2616,0.2857
7.5B,4,0.22,0.2536
7.5B,6,0.1875,0.2258
7.5B,8,0.1583,0.1987
7.5B,10,0.1343,0.1756
7.5B,12,0.1131,0.1542
7.5B,14,0.095,0.136
7.5B,16,0.083,0.123
10B,2,0.2631,0.2801
10B,4,0.2246,0.2467
10B,6,0.1933,0.2173
10B,8,0.1658,0.1905
10B,10,0.1432,0.1675
10B,12,0.1228,0.146
10B,14,0.1065,0.1285
10B,16,0.095,0.115
10B,18,0.084,0.1
2.5PB,2,0.2663,0.2756
2.5PB,4,0.2312,0.2405
2.5PB,6,0.2022,0.2101
2.5PB,8,0.178,0.1833
2.5PB,10,0.1576,0.16
2.5PB,12,0.1398,0.1395
2.5PB,14,0.1251,0.1218
2.5PB,16,0.113,0.107
2.5PB,18,0.102,0.093
2.5PB,20,0.095,0.083
2.5PB,22,0.088,0.073
5PB,2,0.2708,0.2719
5PB,4,0.2393,0.2361
5PB,6,0.2122,0.2052
5PB,8,0.1908,0.1799
5PB,10,0.1718,0.1562
5PB,12,0.1557,0.1356
5PB,14,0.1431,0.1184
5PB,16,0.1318,0.1024
5PB,18,0.1228,0.0895
5PB,20,0.117,0.08
5PB,22,0.112,0.072
5PB,24,0.107,0.064
5PB,26,0.104,0.059
5PB,28,0.102,0.054
5PB,30,0.099,0.05
5PB,32,0.097,0.045
5PB,34,0.095,0.042
5PB,36,0.094,0.04
5PB,38,0.092,0.037
5PB,40,0.091,0.034
5PB,42,0.09,0.032
5PB,44,0.089,0.03
5PB,46,0.088,0.028
5PB,48,0.087,0.025
5PB,50,0.086,0.022
7.5PB,2,0.2777,0.2687
7.5PB,4,0.252,0.2319
7.5PB,6,0.2311,0.201
7.5PB,8,0.2149,0.1761
7.5PB,10,0.2005,0.1536
7.5PB,12,0.1903,0.1353
7.5PB,14,0.1824,0.1188
7.5PB,16,0.1765,0.1048
7.5PB,18,0.173,0.0948
7.5PB,20,0.1702,0.0867
7.5PB,22,0.1677,0.0782
7.5PB,24,0.1658,0.0711
7.5PB,26,0.1642,0.0655
7.5PB,28,0.1632,0.0609
7.5PB,30,0.1621,0.0556
7.5PB,32,0.1612,0.0511
7.5PB,34,0.1608,0.048
7.5PB,36,0.159,0.044
7.5PB,38,0.158,0.04
7.5PB,40,0.158,0.037
7.5PB,42,0.157,0.034
7.5PB,44,0.157,0.031
7.5PB,46,0.157,0.028
7.5PB,48,0.156,0.025
7.5PB,50,0.156,0.022
10PB,2,0.2847,0.267
10PB,4,0.266,0.2319
10PB,6,0.2511,0.2031
10PB,8,0.2387,0.1786
10PB,10,0.2278,0.1565
10PB,12,0.2206,0.1407
10PB,14,0.2142,0.125
10PB,16,0.2092,0.1118
10PB,18,0.206,0.102
10PB,20,0.203,0.093
10PB,22,0.2004,0.0847
10PB,24,0.1982,0.0772
10PB,26,0.1963,0.0708
10PB,28,0.195,0.065
10PB,30,0.1938,0.0599
10PB,32,0.1926,0.0542
10PB,34,0.1918,0.0503
10PB,36,0.19,0.046
10PB,38,0.19,0.042
10PB,40,0.189,0.038
10PB,42,0.189,0.034
10PB,44,0.188,0.031
10PB,46,0.188,0.028
10PB,48,0.188,0.025
10PB,50,0.188,0.022
2.5P,2,0.2922,0.268
2.5P,4,0.2792,0.2342
2.5P,6,0.2691,0.2072
2.5P,8,0.2615,0.1845
2.5P,10,0.2548,0.1638
2.5P,12,0.2498,0.148
2.5P,14,0.2449,0.1325
2.5P,16,0.241,0.1198
2.5P,18,0.238,0.1094
2.5P,20,0.2354,0.1003
2.5P,22,0.2329,0.0911
2.5P,24,0.2305,0.0832
2.5P,26,0.2286,0.0765
2.5P,28,0.2268,0.0698
2.5P,30,0.2252,0.0638
2.5P,32,0.2242,0.0587
2.5P,34,0.223,0.0543
2.5P,36,0.222,0.048
2.5P,38,0.221,0.044
2.5P,40,0.22,0.04
2.5P,42,0.22,0.035
2.5P,44,0.219,0.032
2.5P,46,0.218,0.028
5P,2,0.2997,0.27
5P,4,0.2928,0.2386
5P,6,0.287,0.2135
5P,8,0.2819,0.191
5P,10,0.2772,0.1707
5P,12,0.2739,0.1539
5P,14,0.2707,0.1397
5P,16,0.268,0.1272
5P,18,0.2657,0.1163
5P,20,0.2639,0.1074
5P,22,0.262,0.0978
5P,24,0.2602,0.0891
5P,26,0.259,0.0822
5P,28,0.2579,0.075
5P,30,0.2568,0.069
5P,32,0.2557,0.063
5P,34,0.255,0.056
5P,36,0.254,0.051
5P,38,0.253,0.046
5P,40,0.252,0.041
5P,42,0.251,0.036
7.5P,2,0.3088,0.274
7.5P,4,0.3072,0.2448
7.5P,6,0.3057,0.2208
7.5P,8,0.3037,0.1981
7.5P,10,0.302,0.1794
7.5P,12,0.3003,0.1618
7.5P,14,0.2992,0.1475
7.5P,16,0.2981,0.1356
7.5P,18,0.2969,0.1239
7.5P,20,0.2961,0.1151
7.5P,22,0.2953,0.1057
7.5P,24,0.2944,0.0967
7.5P,26,0.2938,0.0892
7.5P,28,0.293,0.0812
7.5P,30,0.2922,0.075
7.5P,32,0.292,0.067
7.5P,34,0.291,0.06
7.5P,36,0.29,0.054
7.5P,38,0.289,0.048
10P,2,0.317,0.279
10P,4,0.3214,0.2517
10P,6,0.3243,0.2293
10P,8,0.3269,0.2075
10P,10,0.3286,0.1889
10P,12,0.3301,0.1715
10P,14,0.3309,0.1572
10P,16,0.332,0.1456
10P,18,0.3329,0.1332
10P,20,0.3332,0.124
10P,22,0.334,0.1146
10P,24,0.3341,0.1055
10P,26,0.3343,0.0978
10P,28,0.335,0.088
10P,30,0.335,0.081
10P,32,0.335,0.072
10P,34,0.335,0.063
2.5RP,2,0.3272,0.2861
2.5RP,4,0.34,0.2624
2.5RP,6,0.3501,0.2425
2.5RP,8,0.3598,0.2233
2.5RP,10,0.3681,0.2054
2.5RP,12,0.3754,0.1898
2.5RP,14,0.3818,0.1758
2.5RP,16,0.3876,0.1629
2.5RP,18,0.3929,0.1506
2.5RP,20,0.3969,0.1413
2.5RP,22,0.4018,0.1304
2.5RP,24,0.405,0.122
2.5RP,26,0.408,0.114
2.5RP,28,0.414,0.102
2.5RP,30,0.417,0.094
5RP,2,0.337,0.294
5RP,4,0.3586,0.2742
5RP,6,0.3765,0.2569
5RP,8,0.393,0.2395
5RP,10,0.4073,0.2235
5RP,12,0.4199,0.2089
5RP,14,0.4313,0.1944
5RP,16,0.4418,0.1809
5RP,18,0.4503,0.1695
5RP,20,0.4577,0.1593
5RP,22,0.467,0.145
5RP,24,0.472,0.136
5RP,26,0.479,0.127
7.5RP,2,0.345,0.3001
7.5RP,4,0.3739,0.2851
7.5RP,6,0.399,0.2708
7.5RP,8,0.4234,0.2556
7.5RP,10,0.4445,0.2419
7.5RP,12,0.4654,0.2273
7.5RP,14,0.4831,0.214
7.5RP,16,0.4991,0.2011
7.5RP,18,0.513,0.1893
7.5RP,20,0.528,0.178
7.5RP,22,0.542,0.165
10RP,2,0.3526,0.3068
10RP,4,0.3889,0.2969
10RP,6,0.4218,0.2864
10RP,8,0.4552,0.2741
10RP,10,0.4851,0.2618
10RP,12,0.5139,0.2489
10RP,14,0.538,0.2369
10RP,16,0.5628,0.2241
10RP,18,0.584,0.212
10RP,20,0.602,0.2
2.5R,2,0.3591,0.313
2.5R,4,0.4021,0.3076
2.5R,6,0.4409,0.3009
2.5R,8,0.4821,0.2918
2.5R,10,0.5191,0.2811
2.5R,12,0.5536,0.2691
2.5R,14,0.5828,0.2579
2.5R,16,0.6116,0.2456
2.5R,18,0.64,0.232
2.5R,20,0.667,0.217
5R,2,0.3645,0.319
5R,4,0.4148,0.319
5R,6,0.4592,0.3168
5R,8,0.5064,0.3114
5R,10,0.55,0.3024
5R,12,0.5884,0.2904
5R,14,0.6204,0.2789
5R,16,0.652,0.266
5R,18,0.682,0.251
5R,20,0.71,0.234
7.5R,2,0.369,0.3248
7.5R,4,0.424,0.3302
7.5R,6,0.4738,0.3316
7.5R,8,0.5251,0.3297
7.5R,10,0.573,0.324
7.5R,12,0.6158,0.3129
7.5R,14,0.6492,0.3012
7.5R,16,0.6817,0.2872
7.5R,18,0.714,0.271
7.5R,20,0.747,0.251
10R,2,0.3728,0.3314
10R,4,0.4308,0.3412
10R,6,0.4854,0.3467
10R,8,0.5393,0.3477
10R,10,0.5871,0.344
10R,12,0.6322,0.3361
10R,14,0.6703,0.3249
10R,16,0.703,0.314
10R,18,0.739,0.302
10R,20,0.778,0.286
2.5YR,2,0.3757,0.3391
2.5YR,4,0.436,0.3563
2.5YR,6,0.4954,0.3692
2.5YR,8,0.5475,0.3771
2.5YR,10,0.5941,0.3818
2.5YR,12,0.637,0.381
2.5YR,14,0.674,0.379
2.5YR,16,0.708,0.374
5YR,2,0.3771,0.3476
5YR,4,0.4376,0.3715
5YR,6,0.4966,0.3908
5YR,8,0.5456,0.404
5YR,10,0.59,0.414
5YR,12,0.629,0.423
7.5YR,2,0.3771,0.3549
7.5YR,4,0.4378,0.3865
7.5YR,6,0.493,0.4116
7.5YR,8,0.539,0.4306
7.5YR,10,0.581,0.448
10YR,2,0.3747,0.363
10YR,4,0.4341,0.4018
10YR,6,0.4872,0.4326
10YR,8,0.5305,0.4559
10YR,10,0.572,0.475
2.5Y,2,0.3703,0.37
2.5Y,4,0.4277,0.4166
2.5Y,6,0.4784,0.4531
2.5Y,8,0.521,0.482
2.5Y,10,0.56,0.505
5Y,2,0.3646,0.3748
5Y,4,0.4191,0.4283
5Y,6,0.467,0.4711
5Y,8,0.509,0.509
7.5Y,2,0.3589,0.3778
7.5Y,4,0.4086,0.4379
7.5Y,6,0.4526,0.4889
7.5Y,8,0.492,0.535
