H,C,x,y
10Y,2,0.3513,0.3789
10Y,4,0.3961,0.4452
10Y,6,0.4345,0.5026
10Y,8,0.47,0.555
2.5GY,2,0.3412,0.3768
2.5GY,4,0.3772,0.4484
2.5GY,6,0.4069,0.511
2.5GY,8,0.432,0.576
2.5GY,10,0.455,0.638
5GY,2,0.3319,0.3729
5GY,4,0.3554,0.4429
5GY,6,0.375,0.5109
5GY,8,0.3924,0.5832
5GY,10,0.404,0.65
5GY,12,0.413,0.718
7.5GY,2,0.318,0.3644
7.5GY,4,0.327,0.4288
7.5GY,6,0.3333,0.4967
7.5GY,8,0.3341,0.57
7.5GY,10,0.3266,0.6448
7.5GY,12,0.315,0.72
7.5GY,14,0.3,0.793
10GY,2,0.3088,0.3578
10GY,4,0.3053,0.4123
10GY,6,0.2992,0.4717
10GY,8,0.2887,0.5361
10GY,10,0.2724,0.6026
10GY,12,0.2531,0.67
10GY,14,0.2283,0.7423
10GY,16,0.202,0.807
10GY,18,0.168,0.88
10GY,20,0.13,0.948
10GY,22,0.089,1.014
10GY,24,0.046,1.078
2.5G,2,0.2999,0.35
2.5G,4,0.2836,0.3915
2.5G,6,0.2642,0.4342
2.5G,8,0.2435,0.4752
2.5G,10,0.217,0.5211
2.5G,12,0.1902,0.5642
2.5G,14,0.1626,0.6052
2.5G,16,0.1341,0.642
2.5G,18,0.1049,0.6766
2.5G,20,0.072,0.7127
2.5G,22,0.039,0.7468
2.5G,24,0.009,0.776
5G,2,0.2935,0.3439
5G,4,0.2711,0.378
5G,6,0.2471,0.41
5G,8,0.2228,0.438
5G,10,0.1935,0.4682
5G,12,0.166,0.4948
5G,14,0.1382,0.5197
5G,16,0.112,0.5414
5G,18,0.0882,0.5605
5G,20,0.062,0.5802
5G,22,0.034,0.6011
5G,24,0.004,0.622
7.5G,2,0.289,0.3391
7.5G,4,0.2618,0.3667
7.5G,6,0.2346,0.3901
7.5G,8,0.2088,0.4101
7.5G,10,0.18,0.431
7.5G,12,0.1516,0.4505
7.5G,14,0.1262,0.4667
7.5G,16,0.1023,0.4818
7.5G,18,0.0798,0.4954
7.5G,20,0.0568,0.5082
7.5G,22,0.0332,0.5206
7.5G,24,0.006,0.534
10G,2,0.2844,0.3337
10G,4,0.2525,0.3537
10G,6,0.224,0.3699
10G,8,0.197,0.3841
10G,10,0.1688,0.3974
10G,12,0.1411,0.4095
10G,14,0.1161,0.4192
10G,16,0.0925,0.4275
10G,18,0.0718,0.434
10G,20,0.0528,0.4393
10G,22,0.0333,0.4444
10G,24,0.009,0.45
2.5BG,2,0.2799,0.3271
2.5BG,4,0.2437,0.3386
2.5BG,6,0.2132,0.3468
2.5BG,8,0.1845,0.3531
2.5BG,10,0.1552,0.358
2.5BG,12,0.1288,0.362
2.5BG,14,0.1051,0.3648
2.5BG,16,0.0843,0.3667
2.5BG,18,0.0648,0.3682
2.5BG,20,0.0482,0.3695
2.5BG,22,0.032,0.37
2.5BG,24,0.012,0.371
5BG,2,0.2742,0.3192
5BG,4,0.2343,0.32
5BG,6,0.202,0.3188
5BG,8,0.1703,0.3159
5BG,10,0.141,0.3118
5BG,12,0.1158,0.3071
5BG,14,0.094,0.3027
5BG,16,0.0735,0.2979
5BG,18,0.058,0.294
5BG,20,0.043,0.291
5BG,22,0.028,0.286
7.5BG,2,0.2699,0.312
7.5BG,4,0.2272,0.3041
7.5BG,6,0.1928,0.2958
7.5BG,8,0.162,0.2872
7.5BG,10,0.1326,0.2784
